,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
31,Andre Drummond,70.5,2012-13,2022-23,19-29,785,630,2,28.2,5.5,10.2,5.5,10.1,0.0,0.1,2.1,4.3,4.3,8.4,12.7,1.3,1.3,1.4,1.9,3.0,13.2,.542,.548,.128,.475,.542,.543,C,BRKCHICLEDETLALPHI,drumman01
32,George Hill,68.9,2009-10,2022-23,23-36,838,477,0,27.7,3.9,8.4,2.6,5.1,1.2,3.3,1.9,2.4,0.6,2.5,3.1,3.2,0.9,0.3,1.2,1.9,10.9,.460,.510,.381,.808,.576,.534,G,CLEINDMILOKCPHISACSASUTA,hillge01
33,Karl-Anthony Towns,68.7,2015-16,2022-23,20-27,511,511,3,34.1,8.5,16.2,6.9,12.0,1.6,4.2,4.4,5.3,2.9,8.2,11.2,3.2,0.8,1.3,2.7,3.4,23.0,.526,.571,.395,.835,.623,.577,C-F,MIN,townska01
34,Dirk Nowitzki,68.5,2009-10,2018-19,31-40,683,645,6,30.3,6.6,14.2,5.3,10.7,1.3,3.4,3.6,4.1,0.6,5.7,6.3,2.1,0.6,0.6,1.3,2.1,18.3,.468,.496,.383,.893,.571,.515,F-C,DAL,nowitdi01
35,Carmelo Anthony,67.7,2009-10,2021-22,25-37,815,675,8,33.6,7.7,17.5,5.9,12.7,1.7,4.7,4.4,5.3,1.4,4.9,6.2,2.5,0.9,0.5,2.1,2.7,21.5,.439,.466,.368,.829,.543,.489,F,DENHOULALNYKOKCPOR,anthoca01
36,Nikola Vučević,67.2,2011-12,2022-23,21-32,823,762,2,31.1,7.3,14.7,6.5,12.3,0.8,2.4,1.6,2.1,2.5,8.0,10.5,2.8,0.9,0.9,1.7,2.4,17.0,.496,.524,.348,.764,.545,.524,C,CHIORLPHI,vucevni01
37,Tobias Harris,64.2,2011-12,2022-23,19-30,827,707,0,31.5,6.2,13.0,4.8,9.3,1.4,3.7,2.4,2.9,1.0,5.1,6.1,2.3,0.8,0.5,1.4,2.0,16.2,.478,.521,.369,.831,.568,.530,F,DETLACMILORLPHI,harrito02
38,Dwyane Wade,64.0,2009-10,2018-19,28-37,660,523,8,31.6,7.6,15.8,7.0,13.9,0.6,1.9,4.4,5.8,1.2,3.4,4.6,4.7,1.4,0.8,2.8,2.0,20.1,.477,.502,.297,.758,.546,.495,G,CHICLEMIA,wadedw01
39,Nicolas Batum,63.4,2009-10,2022-23,21-34,914,749,0,30.9,4.0,9.1,2.3,4.5,1.7,4.6,1.6,1.9,1.0,4.3,5.2,3.6,1.0,0.6,1.7,1.7,11.2,.436,.509,.365,.834,.563,.528,F-G,CHOLACPOR,batumni01
40,Jrue Holiday,63.1,2009-10,2022-23,19-32,906,825,2,33.1,6.5,14.0,5.0,10.0,1.5,4.0,2.0,2.6,0.9,3.2,4.1,6.5,1.5,0.5,2.7,2.2,16.4,.462,.500,.366,.783,.543,.514,G,MILNOPPHI,holidjr01
41,Danilo Gallinari,63.1,2009-10,2021-22,21-33,700,561,0,30.5,4.9,11.4,2.9,6.1,2.0,5.2,4.2,4.8,0.7,4.2,4.9,2.0,0.7,0.4,1.2,1.8,15.9,.427,.467,.381,.876,.591,.515,F,ATLDENLACNYKOKC,gallida01
42,Gordon Hayward,61.9,2010-11,2022-23,20-32,784,621,1,31.1,5.4,11.9,4.0,8.2,1.4,3.7,3.4,4.1,0.8,3.7,4.5,3.5,1.0,0.4,2.0,1.7,15.5,.455,.494,.369,.825,.568,.512,F-G,BOSCHOUTA,haywago01
43,Thaddeus Young,60.6,2009-10,2022-23,21-34,990,627,0,28.7,5.4,10.8,4.9,9.3,0.5,1.4,1.2,1.9,2.0,3.9,5.9,2.0,1.4,0.4,1.5,2.2,12.5,.502,.528,.327,.651,.538,.523,F,BRKCHIINDMINPHISASTOR,youngth01
44,Derrick Favors,60.2,2010-11,2021-22,19-30,790,503,0,24.3,4.3,8.1,4.3,7.9,0.0,0.2,1.9,2.8,2.4,4.7,7.1,1.1,0.7,1.2,1.3,2.5,10.6,.534,.544,.198,.663,.566,.537,F-C,NJNNOPOKCUTA,favorde01
45,Clint Capela,60.1,2014-15,2022-23,20-28,536,473,0,26.8,5.4,8.6,5.4,8.6,0.0,0.0,1.6,2.9,3.6,7.1,10.7,1.0,0.7,1.5,1.1,2.4,12.4,.627,.628,.000,.533,.625,.627,C,ATLHOU,capelca01
46,Kemba Walker,59.8,2011-12,2022-23,21-32,750,697,4,33.1,6.7,15.9,4.4,9.7,2.2,6.2,3.8,4.5,0.6,3.2,3.8,5.3,1.2,0.4,2.1,1.5,19.3,.418,.455,.360,.840,.539,.488,G,BOSCHACHODALNYK,walkeke02
47,Andre Iguodala,59.8,2009-10,2022-23,26-39,827,380,1,29.2,3.4,7.5,2.5,4.8,0.9,2.7,1.5,2.2,0.8,3.7,4.5,4.1,1.3,0.5,1.5,1.5,9.3,.458,.529,.332,.656,.544,.518,F-G,DENGSWMIAPHI,iguodan01
48,Taj Gibson,59.7,2009-10,2022-23,24-37,945,449,0,23.8,3.6,7.0,3.6,6.8,0.1,0.2,1.5,2.0,2.2,3.7,5.9,1.0,0.5,1.0,1.1,2.5,8.7,.518,.526,.267,.713,.555,.522,F-C,CHIMINNYKOKCWAS,gibsota01
49,Tyson Chandler,59.5,2009-10,2019-20,27-37,623,522,1,26.6,3.0,4.8,3.0,4.7,0.0,0.0,2.1,3.1,2.9,6.1,9.0,0.8,0.5,0.9,1.3,2.5,8.2,.638,.639,.000,.687,.669,.638,C,CHADALHOULALNYKPHO,chandty01
50,Steven Adams,59.3,2013-14,2022-23,20-29,706,641,0,26.8,3.8,6.5,3.8,6.5,0.0,0.0,1.5,2.9,3.7,4.5,8.2,1.5,0.9,1.0,1.5,2.5,9.2,.587,.589,.067,.536,.591,.587,C,MEMNOPOKC,adamsst01
51,JJ Redick,59.2,2009-10,2020-21,25-36,800,483,0,27.4,4.7,10.5,2.4,5.0,2.3,5.5,2.4,2.7,0.2,2.0,2.1,2.2,0.5,0.1,1.2,1.6,14.1,.449,.485,.417,.894,.605,.559,G,DALLACMILNOPORLPHI,redicjj01
52,Marcin Gortat,57.8,2009-10,2018-19,25-34,737,584,0,26.9,4.5,8.1,4.5,8.1,0.0,0.0,1.5,2.2,2.2,6.0,8.3,1.2,0.5,1.1,1.3,2.3,10.4,.551,.553,.105,.683,.575,.551,C-F,LACORLPHOWAS,gortama01
53,Draymond Green,57.4,2012-13,2022-23,22-32,758,608,4,28.8,3.2,7.1,2.4,4.6,0.8,2.6,1.5,2.1,1.1,5.9,7.0,5.6,1.4,1.0,2.3,2.8,8.7,.449,.523,.314,.712,.539,.505,F,GSW,greendr01
54,Lou Williams,57.0,2009-10,2021-22,23-35,871,122,0,25.8,4.9,11.7,3.4,7.4,1.5,4.3,3.9,4.6,0.4,2.0,2.4,3.6,0.9,0.2,1.8,1.3,15.3,.420,.457,.356,.855,.557,.485,G,ATLHOULACLALPHITOR,willilo02
55,Goran Dragić,56.6,2009-10,2022-23,23-36,891,529,1,27.9,5.1,11.0,3.8,7.5,1.3,3.5,2.4,3.2,0.7,2.4,3.0,4.8,1.0,0.2,2.2,2.3,13.8,.461,.507,.361,.766,.558,.518,G,BRKCHIHOUMIAMILPHOTOR,dragigo01
56,Joel Embiid,56.0,2016-17,2022-23,22-28,394,394,6,31.8,9.0,17.9,7.8,14.5,1.2,3.4,8.1,9.9,2.2,8.9,11.2,3.4,0.9,1.7,3.4,3.1,27.2,.501,.540,.337,.819,.611,.533,C,PHI,embiijo01
57,Wesley Matthews,55.1,2009-10,2022-23,23-36,950,753,0,29.6,4.0,9.5,2.1,4.4,1.9,5.1,1.8,2.2,0.5,2.3,2.8,1.9,1.0,0.2,1.1,2.1,11.7,.420,.470,.376,.824,.559,.521,G,DALINDLALMILNYKPORUTA,matthwe02
58,Tim Duncan,55.0,2009-10,2015-16,33-39,493,491,4,28.9,5.9,11.8,5.9,11.7,0.0,0.1,2.9,3.9,2.2,7.1,9.2,2.8,0.7,1.8,1.8,1.8,14.7,.502,.504,.150,.736,.545,.503,F-C,SAS,duncati01
59,David West,54.1,2009-10,2017-18,29-37,655,455,0,26.5,5.2,10.2,5.1,10.0,0.0,0.2,2.2,2.7,1.5,4.4,5.9,2.5,0.8,0.8,1.6,2.2,12.5,.504,.509,.262,.799,.549,.506,F-C,GSWINDNOHSAS,westda01
60,Chris Bosh,53.7,2009-10,2015-16,25-31,454,454,7,34.5,7.0,14.1,6.5,12.4,0.6,1.7,4.3,5.3,1.7,6.2,7.9,1.9,0.8,0.9,1.9,2.2,18.9,.500,.521,.344,.803,.576,.520,F-C,MIATOR,boshch01
61,Enes Freedom,52.8,2011-12,2021-22,19-29,748,259,0,21.5,4.6,8.4,4.5,8.1,0.1,0.2,1.9,2.5,3.0,4.8,7.8,0.9,0.4,0.5,1.4,2.1,11.2,.548,.555,.289,.777,.590,.551,C,BOSNYKOKCPORUTA,kanteen01
62,Zach Randolph,52.7,2009-10,2017-18,28-36,610,503,2,31.9,6.7,14.1,6.5,13.4,0.2,0.7,3.0,3.9,3.3,6.6,9.9,2.0,0.8,0.3,1.9,2.3,16.6,.476,.487,.263,.758,.524,.483,F-C,MEMSAC,randoza01
63,Khris Middleton,52.5,2012-13,2022-23,21-31,684,595,3,31.4,6.2,13.5,4.3,8.7,1.9,4.8,2.8,3.2,0.6,4.2,4.8,3.8,1.2,0.2,2.1,2.5,17.0,.457,.495,.388,.882,.572,.526,F-G,DETMIL,middlkh01
64,Jeff Teague,52.4,2009-10,2020-21,21-32,826,600,1,26.8,4.3,9.7,3.4,7.3,0.9,2.4,2.7,3.2,0.3,2.1,2.4,5.6,1.1,0.3,2.2,1.9,12.2,.444,.472,.360,.844,.549,.489,G,ATLBOSINDMILMIN,teaguje01
65,Rudy Gay,52.2,2009-10,2022-23,23-36,882,577,0,30.1,5.8,12.9,4.8,9.9,1.0,3.0,2.8,3.4,1.3,4.4,5.7,2.1,1.1,0.7,1.9,2.1,15.5,.452,.485,.344,.810,.537,.492,F,MEMSACSASTORUTA,gayru01
66,Bradley Beal,52.2,2012-13,2022-23,19-29,695,661,3,34.7,8.1,17.6,5.9,11.7,2.2,5.9,3.8,4.6,0.9,3.2,4.1,4.3,1.1,0.4,2.5,2.2,22.1,.460,.503,.372,.823,.564,.522,G,WAS,bealbr01
67,Mason Plumlee,52.1,2013-14,2022-23,23-32,740,446,0,22.7,3.4,5.7,3.4,5.6,0.0,0.1,1.8,3.2,2.1,4.7,6.9,2.5,0.7,0.9,1.5,2.8,8.6,.595,.601,.049,.567,.605,.595,C-F,BRKCHODENDETLACPOR,plumlma01
