,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
771,Chris Copeland,2.9,2012-13,2015-16,28-31,171,26,0,12.3,2.1,5.0,1.2,2.5,0.9,2.5,0.7,0.9,0.4,1.2,1.6,0.6,0.2,0.2,0.8,1.4,5.8,.427,.486,.365,.752,.540,.516,F,INDMILNYK,copelch01
772,Earl Clark,2.9,2009-10,2014-15,22-27,261,54,0,13.9,1.7,4.3,1.4,3.4,0.3,1.0,0.6,0.9,0.7,2.2,3.0,0.5,0.3,0.5,0.7,1.2,4.4,.403,.424,.328,.664,.465,.439,F,BRKCLELALNYKORLPHO,clarkea01
773,Joey Dorsey,2.8,2009-10,2014-15,26-31,127,26,0,11.7,1.1,2.1,1.1,2.1,0.0,0.0,0.5,1.3,1.6,2.5,4.0,0.4,0.5,0.3,0.7,2.0,2.7,.534,.536,.000,.375,.511,.534,F,HOUSACTOR,dorsejo01
774,Treveon Graham,2.8,2016-17,2019-20,23-26,180,44,0,16.0,1.5,3.9,0.8,1.9,0.7,2.0,0.6,0.8,0.7,1.6,2.2,0.8,0.4,0.1,0.4,1.7,4.2,.383,.437,.333,.691,.497,.470,G,ATLBRKCHOMIN,grahatr01
775,Day'Ron Sharpe,2.8,2021-22,2022-23,20-21,80,11,0,11.8,2.2,4.0,2.1,3.8,0.1,0.2,0.7,1.2,2.3,2.3,4.5,0.7,0.3,0.6,0.9,1.9,5.3,.559,.566,.444,.615,.587,.572,C,BRK,sharpda01
776,Mark Williams,2.8,2022-23,2022-23,21,43,17,0,19.3,3.7,5.8,3.7,5.8,0.0,0.0,1.6,2.3,2.2,4.9,7.1,0.4,0.7,1.0,0.9,2.2,9.0,.637,.637,,.691,.659,.637,C,CHO,willima07
777,Darius Bazley,2.8,2019-20,2022-23,19-22,228,118,0,23.6,3.3,8.1,2.3,4.8,1.0,3.3,1.4,2.1,0.8,4.5,5.3,1.2,0.6,0.7,1.2,1.0,9.1,.411,.480,.310,.673,.504,.474,F,OKCPHO,bazleda01
778,D.J. Wilson,2.8,2017-18,2021-22,21-25,146,6,0,12.3,1.7,4.0,1.0,2.0,0.7,2.0,0.4,0.7,0.5,2.5,3.1,0.7,0.3,0.3,0.5,1.2,4.4,.419,.514,.327,.618,.516,.502,F,HOUMILTOR,wilsodj01
779,John Lucas III,2.8,2010-11,2016-17,28-34,182,8,0,13.4,2.1,5.5,1.3,3.2,0.8,2.2,0.3,0.4,0.3,0.8,1.1,1.7,0.4,0.0,0.6,0.8,5.3,.381,.395,.360,.763,.468,.454,G,CHIDETMINTORUTA,lucasjo02
780,Abdel Nader,2.8,2017-18,2021-22,24-28,202,8,0,12.8,1.6,3.9,1.0,2.1,0.6,1.7,0.7,0.9,0.3,1.6,1.9,0.5,0.4,0.3,0.7,1.2,4.6,.428,.486,.357,.718,.538,.508,F,BOSOKCPHO,naderab01
781,Greg Oden,2.8,2009-10,2013-14,22-26,44,27,0,16.2,2.7,4.6,2.7,4.6,0.0,0.0,1.4,2.0,2.0,3.3,5.3,0.5,0.3,1.4,1.2,3.1,6.8,.592,.592,,.713,.627,.592,C,MIAPOR,odengr01
782,Sebastian Telfair,2.7,2009-10,2014-15,24-29,215,13,0,16.6,2.2,5.7,1.6,3.6,0.7,2.1,0.9,1.2,0.3,1.1,1.4,2.7,0.6,0.1,1.2,1.8,6.1,.393,.434,.323,.764,.489,.453,G,CLELACMINOKCPHOTOR,telfase01
783,T.J. Leaf,2.7,2017-18,2020-21,20-23,146,2,0,8.5,1.4,2.8,1.2,2.2,0.2,0.6,0.3,0.4,0.7,1.3,1.9,0.3,0.2,0.2,0.2,0.7,3.3,.492,.534,.341,.585,.538,.529,F,INDPOR,leaftj01
784,Gilbert Arenas,2.7,2009-10,2011-12,28-30,119,48,0,26.7,4.6,11.9,3.2,7.3,1.5,4.6,2.4,3.1,0.3,2.5,2.9,4.4,1.1,0.3,2.6,2.7,13.0,.388,.433,.316,.757,.491,.449,G,MEMORLWAS,arenagi01
785,Terry Taylor,2.7,2021-22,2022-23,22-23,64,9,0,15.3,2.7,4.6,2.5,3.7,0.3,0.9,0.7,1.0,1.9,1.5,3.4,0.8,0.3,0.2,0.5,1.4,6.4,.590,.660,.298,.677,.631,.619,G-F,CHIIND,taylote01
786,Donté Greene,2.7,2009-10,2011-12,21-23,198,78,0,17.8,2.6,6.1,1.9,3.9,0.7,2.2,0.9,1.3,0.6,2.0,2.6,0.8,0.5,0.5,0.9,1.5,6.7,.422,.484,.314,.681,.505,.479,F,SAC,greendo01
787,Nick Calathes,2.6,2013-14,2014-15,24-25,129,7,0,15.6,1.9,4.3,1.7,3.5,0.2,0.8,0.5,0.9,0.3,1.6,1.9,2.7,1.0,0.1,1.3,1.7,4.6,.441,.476,.288,.581,.484,.468,G,MEM,calatni01
788,DeShawn Stevenson,2.6,2009-10,2012-13,28-31,243,133,0,17.1,1.3,3.8,0.4,1.0,0.9,2.8,0.3,0.5,0.2,1.5,1.7,0.9,0.3,0.1,0.5,1.1,3.9,.346,.384,.333,.675,.486,.470,G,ATLDALNJNWAS,stevede01
789,Anthony Lamb,2.6,2020-21,2022-23,23-25,88,7,0,18.4,2.2,4.9,1.1,1.8,1.1,3.1,0.7,0.9,0.9,2.3,3.3,1.4,0.4,0.3,0.8,1.9,6.2,.447,.605,.353,.790,.583,.558,F,GSWHOUSAS,lamban01
790,Moses Moody,2.6,2021-22,2022-23,19-20,115,14,0,12.4,1.6,3.6,0.9,1.4,0.8,2.1,0.6,0.8,0.4,1.2,1.6,0.6,0.2,0.1,0.4,0.8,4.6,.459,.600,.363,.730,.590,.567,G,GSW,moodymo01
791,Tari Eason,2.6,2022-23,2022-23,21,82,5,0,21.5,3.6,8.0,2.9,6.0,0.7,2.1,1.3,1.8,2.4,3.7,6.0,1.1,1.2,0.6,1.2,2.3,9.3,.448,.486,.343,.752,.525,.493,F,HOU,easonta01
792,Sean Kilpatrick,2.6,2014-15,2017-18,25-28,157,25,0,19.6,3.5,8.4,2.2,4.7,1.2,3.7,2.1,2.5,0.3,2.5,2.7,1.5,0.5,0.1,1.3,1.2,10.3,.413,.474,.335,.862,.543,.487,G,BRKCHIDENLACMILMIN,kilpase01
793,Vlatko Čančar,2.5,2019-20,2022-23,22-25,130,11,0,10.7,1.3,2.7,0.8,1.5,0.5,1.3,0.5,0.6,0.4,1.3,1.7,0.9,0.3,0.2,0.5,1.0,3.5,.479,.582,.361,.847,.596,.563,F,DEN,cancavl01
794,Jalen Green,2.5,2021-22,2022-23,19-20,143,143,0,33.1,6.8,16.2,4.4,9.1,2.4,7.1,3.9,4.9,0.5,3.0,3.6,3.2,0.7,0.3,2.3,1.6,19.9,.420,.483,.340,.790,.542,.495,G,HOU,greenja05
795,Jordan Nwora,2.5,2020-21,2022-23,22-24,154,29,0,17.2,2.9,6.8,1.6,3.5,1.3,3.2,0.8,1.0,0.6,2.7,3.3,1.0,0.4,0.2,1.0,1.1,7.8,.424,.459,.386,.799,.541,.517,F,INDMIL,nworajo01
796,Bol Bol,2.5,2019-20,2022-23,20-23,123,35,0,14.9,2.6,4.8,2.2,3.6,0.4,1.2,0.8,1.1,0.6,3.2,3.8,0.7,0.3,0.8,1.1,1.0,6.3,.533,.615,.293,.739,.595,.570,F-C,DENORL,bolbo01
797,Frank Jackson,2.5,2018-19,2022-23,20-24,214,31,0,18.1,3.1,7.3,1.9,3.8,1.2,3.5,1.2,1.5,0.4,1.4,1.8,1.0,0.4,0.1,0.8,1.5,8.5,.421,.502,.332,.786,.534,.501,G,DETNOPUTA,jacksfr01
798,Andrés Nocioni,2.5,2009-10,2011-12,30-32,140,46,0,17.6,2.6,6.3,1.6,3.7,1.0,2.7,0.9,1.2,0.4,2.5,2.9,0.9,0.3,0.3,0.9,1.9,7.0,.404,.427,.373,.737,.510,.482,F,PHISAC,nocioan01
799,Alan Williams,2.5,2015-16,2018-19,23-26,67,0,0,13.0,2.4,4.8,2.4,4.8,0.0,0.0,1.3,2.1,1.7,3.8,5.5,0.6,0.6,0.6,0.8,2.3,6.2,.506,.509,.000,.626,.539,.506,F-C,BRKPHO,willial03
800,Dominic McGuire,2.4,2009-10,2012-13,24-27,193,26,0,13.4,1.1,2.6,1.1,2.6,0.0,0.0,0.4,0.6,0.9,2.2,3.1,1.0,0.4,0.4,0.6,1.4,2.5,.418,.423,.000,.661,.447,.418,F,CHAGSWINDNOHSACTORWAS,mcguido01
801,Josh Childress,2.4,2010-11,2013-14,27-30,106,3,0,14.2,1.7,3.2,1.6,2.7,0.1,0.4,0.3,0.6,1.0,1.5,2.5,0.8,0.5,0.3,0.5,1.0,3.6,.524,.581,.140,.476,.534,.533,G-F,BRKNOPPHO,childjo01
802,James Michael McAdoo,2.4,2014-15,2017-18,22-25,111,3,0,7.9,1.2,2.3,1.2,2.1,0.0,0.2,0.6,1.1,0.7,1.0,1.7,0.3,0.3,0.4,0.4,1.0,3.0,.528,.545,.294,.534,.549,.538,F,GSWPHI,mcadoja01
803,Omer Yurtseven,2.4,2021-22,2022-23,23-24,65,12,0,12.1,2.2,4.2,2.2,3.9,0.1,0.3,0.7,1.0,1.4,3.4,4.9,0.8,0.3,0.3,0.7,1.5,5.2,.533,.555,.222,.642,.559,.540,C,MIA,yurtsom01
804,Robert Sacre,2.4,2012-13,2015-16,23-26,189,35,0,14.5,1.7,3.9,1.7,3.9,0.0,0.0,0.8,1.2,1.1,2.0,3.1,0.7,0.3,0.6,0.5,1.8,4.2,.436,.437,.000,.671,.475,.436,C,LAL,sacrero01
805,Omari Spellman,2.4,2018-19,2019-20,21-22,95,14,0,17.8,2.4,5.7,1.5,3.2,0.9,2.5,1.1,1.4,1.6,2.8,4.3,1.0,0.6,0.5,0.9,1.4,6.8,.417,.458,.366,.766,.536,.498,F,ATLGSW,spellom01
806,Nando De Colo,2.4,2012-13,2013-14,25-26,119,9,0,11.9,1.4,3.3,1.0,2.2,0.4,1.1,0.6,0.7,0.3,1.5,1.8,1.7,0.5,0.1,1.0,1.1,3.8,.429,.463,.363,.835,.528,.491,G,SASTOR,decolna01
807,Ziaire Williams,2.4,2021-22,2022-23,20-21,99,35,0,19.3,2.8,6.3,1.8,2.8,1.0,3.4,0.6,0.8,0.4,1.7,2.1,1.0,0.5,0.2,0.8,1.7,7.2,.444,.619,.298,.779,.544,.525,F,MEM,willizi02
808,Paolo Banchero,2.4,2022-23,2022-23,20,72,72,0,33.8,6.7,15.6,5.5,11.6,1.2,4.0,5.5,7.4,1.2,5.7,6.9,3.7,0.8,0.5,2.8,2.2,20.0,.427,.471,.298,.738,.529,.465,F,ORL,banchpa01
809,Usman Garuba,2.4,2021-22,2022-23,19-20,99,3,0,12.2,1.1,2.2,0.8,1.4,0.3,0.8,0.3,0.5,1.4,2.5,3.9,0.8,0.5,0.4,0.5,1.6,2.8,.475,.535,.367,.630,.558,.541,F,HOU,garubus01
810,Nicolò Melli,2.3,2019-20,2020-21,29-30,105,12,0,15.3,1.7,4.4,0.9,1.6,0.9,2.8,0.7,0.9,0.6,2.2,2.9,1.2,0.5,0.2,0.6,1.7,5.0,.392,.520,.316,.745,.522,.491,F,DALNOP,mellini01
811,Malachi Flynn,2.3,2020-21,2022-23,22-24,144,21,0,15.0,2.0,5.3,1.1,2.6,0.9,2.7,0.6,0.8,0.2,1.5,1.8,1.9,0.5,0.1,0.6,1.2,5.5,.374,.414,.335,.752,.484,.459,G,TOR,flynnma01
812,Eric Moreland,2.3,2014-15,2018-19,23-27,83,3,0,10.8,0.9,1.6,0.9,1.6,0.0,0.0,0.2,0.4,1.1,2.7,3.7,1.0,0.4,0.7,0.6,1.6,1.9,.537,.533,1.000,.394,.531,.540,F-C,DETPHOSACTOR,moreler01
813,Ish Wainright,2.3,2021-22,2022-23,27-28,105,2,0,12.1,1.2,3.2,0.5,0.9,0.7,2.2,0.3,0.4,0.7,1.2,1.8,0.6,0.6,0.3,0.3,1.6,3.4,.378,.495,.328,.767,.513,.492,F,PHO,wainris01
814,Rodions Kurucs,2.3,2018-19,2020-21,20-22,131,55,0,16.1,2.2,5.0,1.5,2.8,0.7,2.3,0.8,1.0,0.7,2.4,3.1,0.9,0.6,0.3,1.0,1.9,6.0,.444,.537,.329,.739,.544,.517,F,BRKHOUMIL,kurucro01
815,Johan Petro,2.3,2009-10,2012-13,24-27,203,35,0,12.8,1.7,3.7,1.7,3.7,0.0,0.0,0.3,0.5,1.0,2.4,3.3,0.6,0.4,0.4,0.6,2.1,3.7,.447,.450,.200,.724,.468,.448,C,ATLDENNJN,petrojo01
816,Chris Singleton,2.3,2011-12,2013-14,22-24,148,62,0,17.6,1.6,4.2,1.2,3.0,0.4,1.2,0.6,0.9,0.8,2.4,3.2,0.6,0.8,0.4,0.7,2.2,4.1,.376,.400,.319,.633,.449,.423,F,WAS,singlch01
817,Joel Przybilla,2.2,2009-10,2012-13,30-33,105,38,0,16.4,0.9,1.7,0.9,1.7,0.0,0.0,0.6,0.9,1.4,3.8,5.2,0.3,0.2,0.7,0.9,2.4,2.3,.511,.511,,.592,.542,.511,C,CHAMILPOR,przybjo01
818,Ronnie Price,2.2,2009-10,2016-17,26-33,344,52,0,15.3,1.4,3.9,0.9,2.2,0.5,1.7,0.5,0.7,0.4,0.9,1.3,2.1,0.9,0.1,1.0,2.0,3.9,.361,.410,.297,.744,.457,.425,G,LALORLPHOPORUTA,pricero01
819,AJ Griffin,2.2,2022-23,2022-23,19,72,12,0,19.5,3.4,7.4,2.0,3.8,1.4,3.6,0.6,0.7,0.5,1.6,2.1,1.0,0.6,0.2,0.6,1.2,8.9,.465,.536,.390,.894,.577,.560,F,ATL,griffaj01
820,Jimmer Fredette,2.2,2011-12,2018-19,22-29,241,7,0,13.3,2.2,5.3,1.4,3.2,0.8,2.2,0.8,0.9,0.2,0.8,1.0,1.4,0.4,0.0,0.9,0.9,6.0,.409,.434,.372,.879,.521,.484,G,CHINOPNYKPHOSAC,fredeji01
821,Jalen Johnson,2.2,2021-22,2022-23,20-21,92,6,0,12.6,2.0,3.9,1.6,2.7,0.4,1.3,0.6,0.9,0.6,2.8,3.3,0.9,0.4,0.4,0.5,1.3,4.9,.496,.598,.282,.635,.558,.541,F,ATL,johnsja05
822,Jordan Goodwin,2.2,2021-22,2022-23,23-24,64,7,0,17.4,2.5,5.6,1.9,3.7,0.6,1.9,0.8,1.1,0.9,2.3,3.2,2.6,0.9,0.4,0.9,1.5,6.4,.444,.506,.319,.768,.527,.497,G,WAS,goodwjo01
823,James Singleton,2.2,2009-10,2011-12,28-30,69,3,0,18.0,2.0,4.8,1.9,4.1,0.1,0.7,1.0,1.1,1.9,3.2,5.2,0.7,0.5,0.7,0.9,2.0,5.1,.419,.456,.196,.870,.485,.433,F,DALWAS,singlja01
824,Josh Harrellson,2.1,2011-12,2013-14,22-24,75,4,0,11.8,1.4,3.2,1.0,1.9,0.4,1.3,0.3,0.5,1.1,2.0,3.0,0.3,0.4,0.5,0.4,1.3,3.5,.438,.497,.347,.629,.519,.506,C,DETMIANYK,harrejo01
825,James Wiseman,2.1,2020-21,2022-23,19-21,84,49,0,20.3,4.5,8.4,4.3,7.7,0.2,0.7,1.5,2.2,1.5,4.3,5.9,0.7,0.2,0.8,1.3,2.7,10.7,.537,.561,.276,.667,.570,.549,C,DETGSW,wisemja01
826,Brian Cardinal,2.1,2009-10,2011-12,32-34,129,4,0,9.0,0.6,1.5,0.1,0.4,0.4,1.1,0.3,0.3,0.2,0.8,0.9,0.6,0.3,0.1,0.2,1.4,1.8,.372,.348,.379,.929,.563,.516,F,DALMIN,cardibr01
827,Bruno Fernando,2.1,2019-20,2022-23,21-24,158,17,0,9.5,1.4,2.6,1.3,2.3,0.0,0.3,0.6,0.9,1.0,2.0,3.0,0.6,0.2,0.4,0.6,1.4,3.4,.527,.575,.133,.639,.560,.534,F,ATLBOSHOU,fernabr01
828,Ray McCallum,2.1,2013-14,2015-16,22-24,154,46,0,18.2,2.4,5.9,2.0,4.6,0.5,1.4,0.7,0.9,0.5,1.5,2.0,2.4,0.5,0.2,1.0,1.2,6.0,.408,.430,.335,.711,.470,.447,G,MEMSACSAS,mccalra01
829,Nathan Knight,2.1,2020-21,2022-23,23-25,108,2,0,7.8,1.2,2.5,1.0,1.9,0.2,0.6,1.2,1.6,0.8,1.2,2.0,0.4,0.2,0.2,0.5,1.0,3.7,.476,.547,.265,.738,.582,.509,F-C,ATLMIN,knighna01
830,Charles Bassey,2.1,2021-22,2022-23,21-22,58,2,0,11.7,2.0,3.1,2.0,2.9,0.1,0.2,0.5,0.8,1.7,2.7,4.4,0.9,0.4,0.9,0.8,1.8,4.6,.643,.671,.250,.633,.658,.651,C,PHISAS,bassech01
831,Romeo Langford,2.0,2019-20,2022-23,20-23,141,32,0,16.1,1.8,4.2,1.4,2.8,0.4,1.4,0.6,1.0,0.8,1.3,2.1,0.7,0.4,0.3,0.5,1.2,4.6,.430,.497,.288,.659,.501,.476,G,BOSSAS,langfro01
832,Sandro Mamukelashvili,2.0,2021-22,2022-23,22-23,84,10,0,12.7,1.8,4.1,1.2,2.3,0.6,1.8,0.7,0.9,1.3,1.9,3.2,1.0,0.3,0.3,0.6,1.0,5.0,.446,.526,.344,.722,.549,.522,C-F,MILSAS,mamuksa01
833,Matt Thomas,2.0,2019-20,2021-22,25-27,126,1,0,9.7,1.4,3.3,0.5,1.1,0.9,2.1,0.3,0.4,0.2,1.1,1.2,0.5,0.2,0.0,0.3,0.6,4.0,.433,.489,.404,.804,.582,.566,G,CHITORUTA,thomama02
834,Cam Reddish,2.0,2019-20,2022-23,20-23,173,82,0,24.9,3.5,8.9,2.2,4.8,1.3,4.1,1.9,2.3,0.6,2.4,3.0,1.3,1.0,0.4,1.4,1.9,10.3,.399,.463,.322,.843,.522,.473,F,ATLNYKPOR,reddica01
835,Christian Braun,1.9,2022-23,2022-23,21,76,6,0,15.5,1.9,3.8,1.4,2.5,0.4,1.3,0.5,0.8,0.6,1.8,2.4,0.8,0.5,0.2,0.5,1.3,4.7,.495,.565,.354,.625,.568,.554,G,DEN,braunch01
836,Trent Forrest,1.9,2020-21,2022-23,22-24,113,9,0,11.9,1.2,2.5,1.1,2.0,0.1,0.5,0.5,0.6,0.3,1.2,1.6,1.7,0.4,0.1,0.7,0.7,3.0,.465,.532,.182,.843,.529,.483,G,ATLUTA,forretr01
837,Robbie Hummel,1.9,2013-14,2014-15,24-25,98,9,0,14.3,1.5,3.6,1.0,2.1,0.5,1.4,0.4,0.5,0.7,2.0,2.7,0.5,0.3,0.1,0.3,1.5,3.9,.418,.469,.343,.867,.514,.487,F,MIN,hummero01
838,Thanasis Antetokounmpo,1.9,2015-16,2022-23,23-30,164,11,0,8.3,1.1,2.2,1.1,1.8,0.1,0.4,0.4,0.8,0.7,1.1,1.8,0.6,0.3,0.2,0.6,1.1,2.7,.507,.581,.145,.537,.532,.519,F,MILNYK,antetth01
839,Lindy Waters III,1.9,2021-22,2022-23,24-25,66,1,0,15.1,2.1,5.3,0.5,0.7,1.7,4.7,0.3,0.4,0.3,1.9,2.2,0.8,0.5,0.3,0.3,1.1,6.3,.399,.667,.360,.800,.567,.557,G,OKC,waterli01
840,Royal Ivey,1.9,2009-10,2013-14,28-32,158,5,0,9.7,0.9,2.2,0.4,0.9,0.5,1.2,0.1,0.2,0.2,0.7,0.8,0.5,0.4,0.0,0.3,1.1,2.4,.409,.429,.394,.553,.526,.521,G,MILOKCPHI,iveyro01
841,Sergio Rodríguez,1.9,2009-10,2016-17,23-30,134,38,0,19.1,2.8,6.6,1.9,4.1,0.9,2.6,0.6,0.9,0.3,1.5,1.8,4.1,0.7,0.1,1.8,1.3,7.2,.425,.465,.362,.717,.513,.495,G,NYKPHISAC,rodrise01
842,Jabari Smith Jr.,1.9,2022-23,2022-23,19,79,79,0,31.0,4.6,11.3,3.1,6.3,1.5,4.9,2.1,2.6,1.5,5.7,7.2,1.3,0.5,0.9,1.3,2.9,12.8,.408,.487,.307,.786,.514,.475,F,HOU,smithja05
843,Charlie Bell,1.9,2009-10,2010-11,30-31,90,39,0,19.8,2.0,5.4,1.1,2.9,0.9,2.5,0.6,0.8,0.4,1.3,1.7,1.3,0.5,0.1,0.7,1.7,5.5,.372,.385,.357,.704,.475,.454,G,GSWMIL,bellch01
844,Jaylin Williams,1.9,2022-23,2022-23,20,49,36,0,18.7,2.1,4.8,1.1,2.5,0.9,2.3,0.8,1.1,0.9,4.0,4.9,1.6,0.6,0.2,0.8,2.3,5.9,.436,.463,.407,.704,.559,.534,F,OKC,willija07
845,Bernard James,1.9,2012-13,2014-15,27-29,92,13,0,8.3,0.8,1.7,0.8,1.6,0.0,0.0,0.6,0.8,0.9,1.4,2.3,0.1,0.2,0.7,0.4,1.1,2.2,.497,.507,.000,.680,.546,.497,C,DAL,jamesbe01
846,T.J. Ford,1.8,2009-10,2011-12,26-28,102,35,0,21.1,2.9,6.8,2.7,6.0,0.2,0.9,1.5,1.9,0.6,1.8,2.4,3.6,0.9,0.2,1.7,1.9,7.4,.425,.461,.178,.761,.484,.436,G,INDSAS,fordtj01
847,Josh Boone,1.8,2009-10,2009-10,25,63,28,0,16.6,1.9,3.5,1.9,3.5,0.0,0.0,0.3,0.9,2.0,3.0,5.0,0.5,0.5,0.8,0.6,1.8,4.0,.525,.525,,.328,.509,.525,F-C,NJN,boonejo01
848,Luka Garza,1.8,2021-22,2022-23,23-24,60,5,0,10.5,2.2,4.4,1.7,2.9,0.5,1.5,1.3,1.9,1.5,1.2,2.7,0.6,0.2,0.1,0.5,1.6,6.1,.490,.566,.341,.699,.587,.548,F-C,DETMIN,garzalu01
849,Semih Erden,1.8,2010-11,2011-12,24-25,69,17,0,13.4,1.5,2.7,1.5,2.7,0.0,0.0,0.9,1.5,0.8,1.9,2.8,0.4,0.4,0.4,0.7,2.4,3.8,.546,.546,,.594,.571,.546,C,BOSCLE,erdense01
850,Cam Thomas,1.8,2021-22,2022-23,20-21,124,6,0,17.1,3.4,7.7,2.6,5.3,0.8,2.5,1.9,2.3,0.2,1.9,2.1,1.3,0.4,0.1,1.0,1.0,9.5,.437,.492,.319,.853,.543,.488,G,BRK,thomaca02
851,Ronald Murray,1.8,2009-10,2009-10,30,75,2,0,22.3,3.6,9.1,2.7,6.2,0.9,2.9,1.9,2.6,0.4,2.1,2.4,1.8,0.6,0.2,1.2,1.7,9.9,.392,.431,.312,.727,.485,.443,G,CHACHI,murraro01
852,Udoka Azubuike,1.8,2020-21,2022-23,21-23,68,10,0,9.0,1.5,1.9,1.5,1.9,0.0,0.0,0.3,0.6,0.8,2.2,3.0,0.2,0.1,0.4,0.5,1.0,3.3,.769,.769,,.512,.746,.769,C,UTA,azubuud01
853,Bennedict Mathurin,1.8,2022-23,2022-23,20,78,17,0,28.5,5.3,12.2,4.0,8.2,1.3,4.0,4.8,5.8,1.1,3.0,4.1,1.5,0.6,0.2,1.9,2.1,16.7,.434,.488,.323,.828,.566,.487,G-F,IND,mathube01
854,Skylar Mays,1.7,2020-21,2022-23,23-25,67,11,0,10.1,1.6,3.4,1.1,2.1,0.5,1.4,0.6,0.7,0.3,0.9,1.2,1.4,0.4,0.0,0.4,0.5,4.4,.478,.547,.374,.894,.590,.552,G,ATLPOR,mayssk01
855,PJ Dozier,1.7,2017-18,2022-23,21-26,121,6,0,16.3,2.2,5.5,1.5,3.3,0.7,2.2,0.6,0.9,0.5,2.2,2.7,1.6,0.5,0.3,0.8,1.4,5.7,.402,.466,.307,.673,.484,.464,G,BOSDENOKCSAC,doziepj01
856,Rodney Carney,1.7,2009-10,2010-11,25-26,95,1,0,12.6,1.7,4.1,1.1,2.3,0.6,1.8,0.7,0.9,0.4,1.5,1.9,0.5,0.4,0.3,0.4,1.2,4.7,.406,.461,.335,.778,.517,.480,F,GSWMEMPHI,carnero01
857,Christian Koloko,1.7,2022-23,2022-23,22,58,19,0,13.8,1.2,2.6,1.2,2.4,0.0,0.2,0.6,1.0,1.4,1.5,2.9,0.5,0.4,1.0,0.3,2.2,3.1,.480,.514,.083,.627,.517,.483,C,TOR,kolokch01
858,Chris Silva,1.7,2019-20,2022-23,23-26,70,0,0,7.6,1.0,1.6,0.9,1.5,0.0,0.1,0.8,1.2,1.1,1.6,2.7,0.5,0.1,0.4,0.7,1.9,2.8,.609,.623,.250,.707,.661,.614,F,DALMIAMINSAC,silvach01
859,Arnett Moultrie,1.7,2012-13,2013-14,22-23,59,2,0,12.4,1.6,2.9,1.6,2.9,0.0,0.0,0.4,0.6,1.5,1.6,3.1,0.2,0.4,0.2,0.4,1.1,3.6,.547,.547,,.667,.563,.547,F,PHI,moultar01
860,Jerome Jordan,1.7,2011-12,2014-15,25-28,65,0,0,7.6,1.0,2.0,1.0,2.0,0.0,0.0,0.7,0.8,1.0,1.0,2.0,0.3,0.1,0.3,0.4,1.1,2.8,.528,.528,,.852,.597,.528,C,BRKNYK,jordaje01
861,Isaiah Livers,1.7,2021-22,2022-23,23-24,71,27,0,22.3,2.3,5.3,0.8,1.6,1.4,3.8,0.6,0.7,0.6,2.2,2.8,0.9,0.6,0.5,0.6,2.0,6.6,.426,.541,.378,.830,.582,.560,F,DET,liveris01
862,Nickeil Alexander-Walker,1.7,2019-20,2022-23,21-24,217,38,0,18.2,3.1,7.8,1.8,3.9,1.3,3.9,0.9,1.3,0.3,2.0,2.4,2.1,0.7,0.3,1.2,1.5,8.4,.397,.454,.339,.713,.503,.481,G,MINNOPUTA,alexani01
863,Isaac Bonga,1.7,2018-19,2021-22,19-22,143,57,0,13.1,1.1,2.5,0.8,1.6,0.3,0.9,0.6,0.8,0.7,1.5,2.2,0.8,0.5,0.3,0.6,1.7,3.1,.432,.506,.300,.759,.533,.486,G,LALTORWAS,bongais01
864,Jordan McRae,1.7,2015-16,2019-20,24-28,123,9,0,13.8,2.5,5.9,1.8,4.0,0.7,1.9,1.3,1.7,0.3,1.6,1.8,1.4,0.4,0.2,0.7,1.2,6.9,.417,.447,.355,.772,.519,.474,G,CLEDENDETPHOWAS,mcraejo01
865,Gary Forbes,1.7,2010-11,2011-12,25-26,111,13,0,13.5,2.1,4.9,1.7,3.6,0.4,1.3,1.1,1.6,0.5,1.5,2.0,0.9,0.4,0.1,0.9,1.2,5.8,.434,.467,.340,.702,.518,.478,F,DENTOR,forbega01
866,Perry Jones,1.7,2012-13,2014-15,21-23,143,21,0,11.7,1.4,3.2,1.1,2.4,0.3,0.9,0.4,0.7,0.3,1.4,1.8,0.4,0.3,0.2,0.4,0.9,3.4,.420,.466,.293,.660,.483,.459,F,OKC,jonespe01
867,Davion Mitchell,1.6,2021-22,2022-23,23-24,155,28,0,22.7,3.4,8.0,2.4,4.7,1.1,3.3,0.5,0.7,0.3,1.4,1.7,3.2,0.6,0.3,1.1,1.6,8.5,.429,.509,.317,.698,.507,.495,G,SAC,mitchda01
868,Yi Jianlian,1.6,2009-10,2011-12,22-24,145,62,0,20.5,2.8,6.8,2.6,6.4,0.1,0.4,1.6,2.1,1.4,3.2,4.6,0.5,0.5,0.6,1.0,2.1,7.3,.406,.412,.328,.754,.469,.417,F,DALNJNWAS,jianlyi01
