,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
179,Taurean Prince,UTA,1,12,2016,Baylor,2012-13,2015-16,129,42,20.2,3.6,7.9,2.6,5.2,1.0,2.7,2.0,2.8,1.6,2.7,4.2,1.1,0.9,0.5,1.7,2.1,10.2,.460,.504,.376,.718,.557,.524,F,Baylor,taurean-prince-1
180,Joshua Primo,SAS,1,12,2021,Alabama,2020-21,2020-21,30,19,22.5,2.8,6.5,1.4,2.7,1.4,3.8,1.1,1.5,1.0,2.3,3.4,0.8,0.6,0.3,1.4,1.7,8.1,.431,.500,.381,.750,.565,.541,G,Alabama,joshua-primo-1
181,Jason Preston,ORL,2,33,2021,Ohio,2018-19,2020-21,82,73,34.1,4.9,9.8,3.9,7.1,1.0,2.7,1.8,2.6,0.8,4.8,5.6,5.9,1.2,0.1,2.6,1.2,12.6,.498,.551,.357,.703,.568,.547,G,Ohio,jason-preston-1
182,Norman Powell,MIL,2,46,2015,UCLA,2011-12,2014-15,141,83,25.2,3.6,7.7,2.8,5.2,0.8,2.5,1.8,2.5,0.4,2.6,3.0,1.5,1.1,0.4,1.3,2.0,9.8,.461,.533,.314,.746,.548,.512,G,UCLA,norman-powell-1
183,Dwight Powell,CHA,2,45,2014,Stanford,2010-11,2013-14,136,105,26.2,3.8,8.2,3.5,7.3,0.2,0.8,3.0,4.1,1.7,4.6,6.3,1.8,0.9,0.9,2.1,2.9,10.8,.464,.484,.289,.722,.533,.479,F,Stanford,dwight-powell-1
184,Bobby Portis,CHI,1,22,2015,Arkansas,2013-14,2014-15,70,70,28.5,5.9,11.2,5.5,10.3,0.3,0.9,2.9,3.9,3.1,4.7,7.9,1.3,1.1,1.5,1.4,2.0,15.0,.526,.540,.365,.737,.574,.540,F,Arkansas,bobby-portis-1
185,Otto Porter,WAS,1,3,2013,Georgetown,2011-12,2012-13,64,38,32.5,4.6,9.2,3.7,6.8,0.9,2.4,2.8,3.8,1.9,5.3,7.1,2.1,1.5,0.9,1.3,2.0,12.8,.498,.550,.355,.751,.585,.545,F,Georgetown,otto-porter-1
186,Michael Porter Jr.,DEN,1,14,2018,Missouri,2017-18,2017-18,3,1,17.7,3.3,10.0,2.3,6.7,1.0,3.3,2.3,3.0,1.3,5.3,6.7,0.3,1.0,0.3,1.0,2.0,10.0,.333,.350,.300,.778,.438,.383,F,Missouri,michael-porterjr-1
187,Kevin Porter Jr.,MIL,1,30,2019,Southern California,2018-19,2018-19,21,4,22.1,3.5,7.5,2.2,4.2,1.3,3.2,1.1,2.2,1.0,3.0,4.0,1.4,0.8,0.5,1.9,2.1,9.5,.471,.517,.412,.522,.559,.561,G,Southern California,kevin-porterjr-1
188,Jordan Poole,GSW,1,28,2019,Michigan,2017-18,2018-19,75,37,22.7,3.1,7.3,1.6,3.1,1.5,4.1,1.6,1.9,0.1,2.0,2.2,1.4,0.8,0.2,1.1,1.5,9.4,.434,.519,.370,.831,.576,.540,G,Michigan,jordan-poole-1
189,Quincy Pondexter,OKC,1,26,2010,Washington,2009-10,2009-10,36,36,32.3,6.8,12.9,6.3,11.5,0.5,1.4,5.2,6.3,3.0,4.4,7.4,1.8,1.3,0.6,1.9,2.5,19.3,.528,.550,.353,.827,.608,.547,F,Washington,quincy-pondexter-1
190,Sir'Dominic Pointer,CLE,2,53,2015,St. John's (NY),2011-12,2014-15,130,76,28.2,3.1,6.6,3.0,5.7,0.2,0.8,1.9,2.8,1.2,4.0,5.2,2.3,1.5,1.3,1.7,2.8,8.3,.477,.518,.193,.681,.527,.489,G,St. John's (NY),sirdominic-pointer-1
191,Jakob Poeltl,TOR,1,9,2016,Utah,2014-15,2015-16,70,70,26.9,5.1,7.7,5.1,7.7,0.0,0.0,3.1,5.2,2.8,5.2,8.0,1.3,0.5,1.7,1.8,2.4,13.3,.658,.659,.000,.605,.653,.658,F,Utah,jakob-poeltl-1
192,Brandin Podziemski,GSW,1,19,2023,Santa Clara,2021-22,2022-23,48,32,25.4,4.8,10.0,3.0,5.9,1.8,4.1,2.4,3.1,1.2,4.9,6.1,2.5,1.2,0.3,1.6,1.4,13.7,.480,.520,.424,.770,.599,.568,G,IllinoisSanta Clara,brandin-podziemski-1
193,Miles Plumlee,IND,1,26,2012,Duke,2009-10,2011-12,111,56,17.7,2.2,3.9,2.2,3.9,0.0,0.0,1.1,1.7,2.1,3.4,5.5,0.4,0.5,0.7,1.1,2.4,5.5,.565,.564,1.000,.630,.583,.566,F,Duke,miles-plumlee-1
194,Mason Plumlee,NJN,1,22,2013,Duke,2009-10,2012-13,141,99,25.9,3.7,6.5,3.7,6.4,0.0,0.1,2.4,4.0,2.4,5.4,7.7,1.5,0.8,1.4,2.0,2.5,9.8,.574,.578,.200,.583,.584,.575,F,Duke,mason-plumlee-1
195,Dexter Pittman,MIA,2,32,2010,Texas,2009-10,2009-10,34,34,19.1,4.1,6.3,4.1,6.3,0.0,0.0,2.2,4.0,3.0,2.9,5.9,0.5,0.4,1.9,1.8,2.6,10.4,.654,.654,,.556,.638,.654,C,Texas,dexter-pittman-1
196,Jalen Pickett,IND,2,32,2023,Penn State,2018-19,2022-23,144,142,36.9,5.8,12.8,4.1,8.1,1.7,4.8,2.0,2.7,1.0,4.4,5.4,5.8,1.2,0.8,2.1,1.9,15.3,.454,.513,.355,.742,.544,.520,G,Penn StateSiena,jalen-pickett-1
197,Julian Phillips,BOS,2,35,2023,Tennessee,2022-23,2022-23,32,25,24.1,2.5,6.0,2.1,4.6,0.3,1.4,3.0,3.7,1.8,2.9,4.7,1.4,0.6,0.5,1.3,1.8,8.3,.411,.466,.239,.822,.536,.440,F,Tennessee,julian-phillips-1
198,Filip Petrusev,PHI,2,50,2021,Gonzaga,2018-19,2019-20,65,33,18.8,4.2,7.6,4.1,7.0,0.2,0.6,3.4,4.8,1.5,3.8,5.4,0.9,0.4,0.6,1.4,1.6,12.0,.560,.586,.268,.703,.610,.571,F,Gonzaga,filip-petrusev-1
199,Alec Peters,PHO,2,54,2017,Valparaiso,2013-14,2016-17,134,134,31.7,5.9,12.1,3.7,6.9,2.2,5.2,3.6,4.2,2.0,5.5,7.4,1.5,0.8,0.3,1.9,2.1,17.5,.487,.539,.416,.846,.621,.576,F,Valparaiso,alec-peters-1
200,Reggie Perry,LAC,2,57,2020,Mississippi State,2018-19,2019-20,65,49,27.3,4.6,9.2,4.1,7.6,0.5,1.7,3.6,4.8,2.9,5.7,8.6,1.4,0.7,0.9,2.2,3.0,13.4,.501,.544,.309,.748,.580,.529,F,Mississippi State,reggie-perry-2
201,Elfrid Payton,PHI,1,10,2014,Louisiana–Lafayette,2011-12,2013-14,100,78,31.6,5.0,10.3,4.7,9.2,0.3,1.1,3.9,6.5,1.5,3.6,5.1,4.9,2.0,0.5,3.4,2.3,14.3,.485,.512,.268,.611,.533,.500,G,Louisiana–Lafayette,elfrid-payton-1
202,Cameron Payne,OKC,1,14,2015,Murray State,2013-14,2014-15,69,69,32.4,6.3,14.6,4.0,8.3,2.3,6.3,3.7,4.7,0.4,3.2,3.7,5.7,1.8,0.5,2.9,2.4,18.5,.432,.487,.359,.781,.551,.509,G,Murray State,cameron-payne-1
203,Adreian Payne,ATL,1,15,2014,Michigan State,2010-11,2013-14,138,94,20.0,3.2,6.2,2.8,5.1,0.4,1.1,2.0,2.7,1.5,3.8,5.3,0.6,0.6,1.0,1.4,2.2,8.9,.526,.551,.409,.755,.601,.562,C,Michigan State,adreian-payne-1
204,Justin Patton,CHI,1,16,2017,Creighton,2016-17,2016-17,35,34,25.3,5.7,8.5,5.5,8.0,0.2,0.4,1.3,2.5,1.7,4.5,6.2,1.2,0.9,1.4,1.7,2.7,12.9,.676,.683,.533,.517,.671,.689,C,Creighton,justin-patton-1
205,Patrick Patterson,HOU,1,14,2010,Kentucky,2009-10,2009-10,38,38,33.0,5.7,9.8,5.0,8.0,0.6,1.8,2.4,3.4,3.1,4.4,7.4,0.9,0.7,1.3,1.1,1.6,14.3,.575,.626,.348,.692,.624,.607,F,Kentucky,patrick-patterson-1
206,Lamar Patterson,MIL,2,48,2014,Pittsburgh,2009-10,2013-14,149,106,24.3,3.2,7.4,2.1,4.3,1.1,3.1,1.9,2.6,1.2,2.8,3.9,2.9,1.0,0.3,1.6,1.9,9.5,.435,.483,.369,.723,.549,.513,G,Pittsburgh,lamar-patterson-1
207,Eric Paschall,GSW,2,41,2019,Villanova,2014-15,2018-19,137,109,29.6,4.3,9.2,3.1,5.4,1.2,3.7,2.5,3.2,1.5,3.6,5.1,1.5,0.7,0.5,1.9,2.3,12.3,.468,.562,.331,.765,.574,.535,F,FordhamVillanova,eric-paschall-1
208,Chandler Parsons,HOU,2,38,2011,Florida,2009-10,2010-11,70,53,32.6,4.2,8.7,3.1,5.5,1.2,3.2,2.2,3.5,2.2,5.2,7.3,3.2,1.0,0.3,2.1,2.0,11.8,.486,.557,.363,.621,.569,.553,F,Florida,chandler-parsons-1
209,Jabari Parker,MIL,1,2,2014,Duke,2013-14,2013-14,35,35,30.7,6.7,14.3,5.7,11.2,1.1,3.0,4.6,6.1,3.0,5.7,8.7,1.2,1.1,1.2,2.3,2.4,19.1,.473,.504,.358,.748,.558,.511,F,Duke,jabari-parker-1
210,Marcus Paige,NJN,2,55,2016,North Carolina,2012-13,2015-16,141,139,32.4,4.2,10.4,2.1,4.8,2.1,5.7,2.5,2.9,0.4,2.4,2.8,4.3,1.4,0.2,1.9,1.7,13.1,.407,.446,.375,.844,.553,.509,G,North Carolina,marcus-paige-1
211,Kelly Oubre,ATL,1,15,2015,Kansas,2014-15,2014-15,36,27,21.0,3.1,6.9,2.1,4.3,0.9,2.6,2.2,3.1,1.1,3.8,5.0,0.8,1.1,0.4,1.2,2.0,9.3,.444,.497,.358,.718,.555,.512,G,Kansas,kelly-oubre-1
212,Daniel Oturu,MIN,2,33,2020,Minnesota,2018-19,2019-20,66,62,28.5,5.9,10.6,5.6,9.8,0.3,0.8,3.0,4.5,3.1,5.9,9.0,0.8,0.5,1.8,2.1,2.7,15.2,.558,.574,.370,.671,.595,.572,C,Minnesota,daniel-oturu-1
213,Romero Osby,ORL,2,51,2013,Oklahoma,2009-10,2012-13,98,65,23.5,3.8,7.7,3.5,6.9,0.3,0.8,2.8,3.8,1.8,3.7,5.5,0.9,0.5,0.7,1.3,1.9,10.8,.501,.509,.432,.747,.573,.523,F,Mississippi StateOklahoma,romero-osby-1
214,Daniel Orton,ORL,1,29,2010,Kentucky,2009-10,2009-10,38,0,13.2,1.3,2.4,1.3,2.3,0.0,0.1,0.9,1.7,1.2,2.1,3.3,0.4,0.6,1.4,1.0,2.3,3.4,.527,.539,.000,.524,.533,.527,F,Kentucky,daniel-orton-1
215,Alex Oriakhi,PHO,2,57,2013,Missouri,2009-10,2012-13,143,130,25.5,3.1,5.9,3.1,5.9,0.0,0.0,1.9,3.0,2.8,4.4,7.2,0.3,0.4,1.5,1.2,2.3,8.2,.530,.531,.000,.641,.559,.530,F,ConnecticutMissouri,alex-oriakhi-1
216,Chinanu Onuaku,HOU,2,37,2016,Louisville,2014-15,2015-16,66,55,21.0,2.8,4.5,2.8,4.4,0.0,0.0,0.7,1.3,2.4,4.0,6.4,1.1,0.8,1.6,1.7,2.7,6.2,.619,.621,.000,.547,.614,.619,F,Louisville,chinanu-onuaku-1
217,Miye Oni,GSW,2,58,2019,Yale,2016-17,2018-19,87,82,31.7,5.2,12.1,3.2,6.5,2.0,5.6,2.7,3.5,0.8,5.4,6.2,3.3,0.9,1.0,2.6,2.8,15.0,.428,.490,.356,.777,.547,.510,G,Yale,miye-oni-1
218,Kelly Olynyk,DAL,1,13,2013,Gonzaga,2009-10,2012-13,101,31,17.2,3.3,5.6,3.1,4.9,0.2,0.7,2.0,2.8,1.5,3.1,4.6,1.1,0.5,0.5,1.4,2.0,8.9,.594,.634,.333,.709,.641,.616,F,Gonzaga,kelly-olynyk-1
219,Victor Oladipo,ORL,1,2,2013,Indiana,2010-11,2012-13,104,75,24.6,3.9,7.3,3.4,5.9,0.5,1.4,2.5,3.5,2.0,3.2,5.2,1.7,1.5,0.5,2.0,2.4,10.7,.538,.585,.338,.716,.604,.570,G,Indiana,victor-oladipo-1
220,Kezie Okpala,PHO,2,32,2019,Stanford,2017-18,2018-19,52,50,30.8,4.7,10.7,4.0,8.5,0.8,2.3,3.7,5.4,1.2,3.7,4.8,1.9,1.0,0.5,2.7,2.8,13.8,.439,.468,.331,.674,.520,.474,F,Stanford,kezie-okpala-1
221,Isaac Okoro,CLE,1,5,2020,Auburn,2019-20,2019-20,28,28,31.5,4.5,8.7,3.8,6.2,0.7,2.5,3.2,4.8,1.9,2.5,4.4,2.0,0.9,0.9,2.0,2.7,12.9,.514,.607,.286,.672,.587,.556,F,Auburn,isaac-okoro-1
222,Onyeka Okongwu,ATL,1,6,2020,Southern California,2019-20,2019-20,28,28,30.6,6.3,10.1,6.2,10.0,0.0,0.1,3.7,5.1,3.3,5.4,8.6,1.1,1.2,2.7,2.0,2.7,16.2,.616,.621,.250,.720,.645,.618,F,Southern California,onyeka-okongwu-1
223,Josh Okogie,MIN,1,20,2018,Georgia Tech,2016-17,2017-18,61,61,33.0,5.4,12.3,4.3,9.4,1.1,2.8,5.1,6.6,1.8,4.0,5.8,2.0,1.5,0.8,2.3,2.7,16.9,.437,.454,.382,.777,.550,.481,G,Georgia Tech,josh-okogie-1
224,Chuma Okeke,ORL,1,16,2019,Auburn,2017-18,2018-19,72,38,25.5,3.6,7.5,2.4,4.3,1.2,3.2,1.4,2.0,2.4,3.9,6.3,1.5,1.3,1.0,1.3,1.9,9.9,.481,.550,.389,.703,.584,.564,F,Auburn,chuma-okeke-1
225,Jahlil Okafor,PHI,1,3,2015,Duke,2014-15,2014-15,38,38,30.1,7.3,11.1,7.3,11.1,0.0,0.0,2.6,5.1,3.5,4.9,8.5,1.3,0.8,1.4,2.5,2.1,17.3,.664,.664,,.510,.641,.664,C,Duke,jahlil-okafor-1
226,Semi Ojeleye,BOS,2,37,2017,SMU,2013-14,2016-17,58,35,23.1,3.8,8.0,2.4,4.6,1.4,3.4,3.2,4.1,1.6,3.1,4.6,1.0,0.4,0.3,0.9,1.4,12.3,.479,.526,.415,.785,.618,.567,F,DukeSMU,semi-ojeleye-1
227,Kyle O'Quinn,ORL,2,49,2012,Norfolk State,2009-10,2011-12,98,96,30.9,5.6,10.0,5.2,8.3,0.4,1.7,3.2,4.6,3.1,7.0,10.1,1.1,0.6,2.6,2.3,3.3,14.7,.560,.626,.228,.690,.606,.579,C,Norfolk State,kyle-oquinn-1
228,Johnny O'Bryant,MIL,2,36,2014,Louisiana State,2011-12,2013-14,91,78,27.1,4.9,10.5,4.8,10.2,0.1,0.3,2.8,4.6,3.0,4.7,7.7,1.3,0.5,0.8,2.9,2.8,12.7,.467,.474,.222,.619,.501,.470,F,Louisiana State,johnny-obryant-1
229,Jordan Nwora,MIL,2,45,2020,Louisville,2017-18,2019-20,93,59,26.3,4.7,10.6,2.8,5.7,1.9,4.9,2.6,3.3,1.2,4.9,6.0,1.0,0.8,0.2,1.8,1.9,13.9,.445,.489,.394,.785,.573,.535,F,Louisville,jordan-nwora-1
230,Jaylen Nowell,MIN,2,43,2019,Washington,2017-18,2018-19,70,67,33.5,6.0,12.6,4.7,9.4,1.3,3.2,2.8,3.5,1.0,3.7,4.6,2.9,1.2,0.3,2.7,2.5,16.1,.476,.504,.396,.789,.563,.527,G,Washington,jaylen-nowell-1
231,Nerlens Noel,NOH,1,6,2013,Kentucky,2012-13,2012-13,24,24,31.9,4.1,6.9,4.1,6.9,0.0,0.0,2.3,4.3,2.7,6.8,9.5,1.6,2.1,4.4,1.9,2.6,10.5,.590,.590,,.529,.583,.590,F,Kentucky,nerlens-noel-1
232,Zeke Nnaji,DEN,1,22,2020,Arizona,2019-20,2019-20,32,32,30.7,5.6,9.8,5.4,9.3,0.2,0.5,4.8,6.3,3.1,5.5,8.6,0.8,0.7,0.9,2.2,2.4,16.1,.570,.586,.294,.760,.630,.578,F,Arizona,zeke-nnaji-1
233,Andrew Nicholson,ORL,1,19,2012,St. Bonaventure,2009-10,2011-12,93,93,31.4,7.0,12.4,6.7,11.6,0.3,0.8,4.2,5.6,2.2,5.4,7.6,0.9,0.5,1.8,2.5,2.9,18.6,.569,.582,.382,.743,.617,.582,F,St. Bonaventure,andrew-nicholson-1
234,Georges Niang,IND,2,50,2016,Iowa State,2012-13,2015-16,138,126,29.8,6.2,12.3,4.8,8.7,1.4,3.6,2.5,3.2,1.2,4.0,5.2,3.1,0.7,0.5,2.3,3.1,16.1,.500,.553,.375,.763,.583,.556,F,Iowa State,georges-niang-1
235,Aaron Nesmith,BOS,1,14,2020,Vanderbilt,2018-19,2019-20,46,33,31.0,4.8,10.8,2.2,4.5,2.6,6.3,2.6,3.1,1.0,4.3,5.3,1.3,0.9,0.7,1.6,3.0,14.7,.442,.485,.410,.825,.598,.561,F,Vanderbilt,aaron-nesmith-1
236,Andrew Nembhard,IND,2,31,2022,Gonzaga,2018-19,2021-22,131,115,32.1,3.7,8.3,2.6,5.0,1.1,3.3,1.4,1.8,0.2,2.7,2.9,5.3,1.2,0.1,2.0,1.8,10.0,.446,.515,.343,.790,.545,.515,G,FloridaGonzaga,andrew-nembhard-1
237,Shabazz Napier,CHA,1,24,2014,Connecticut,2010-11,2013-14,143,98,32.3,4.2,10.1,2.3,5.3,1.8,4.8,3.6,4.4,0.7,3.3,4.0,4.5,1.8,0.2,2.4,2.1,13.7,.411,.444,.375,.813,.562,.501,G,Connecticut,shabazz-napier-1
238,Larry Nance,LAL,1,27,2015,Wyoming,2011-12,2014-15,123,89,29.5,4.1,8.0,3.9,7.0,0.3,1.0,2.7,3.5,1.5,5.1,6.6,1.4,1.1,1.1,1.6,2.3,11.3,.521,.551,.308,.771,.587,.540,F,Wyoming,larry-nance-2
239,Abdel Nader,BOS,2,58,2016,Iowa State,2011-12,2015-16,117,82,24.3,3.7,9.5,2.6,5.9,1.1,3.6,1.8,2.5,0.9,3.4,4.3,1.1,0.8,0.6,2.3,2.5,10.3,.391,.443,.305,.731,.484,.448,F,Iowa StateNorthern Illinois,abdel-nader-1
240,Hamady N'Diaye,MIN,2,56,2010,Rutgers,2009-10,2009-10,32,25,28.3,3.6,6.2,3.6,6.2,0.0,0.0,2.3,3.8,2.4,4.8,7.1,0.4,0.4,4.5,1.5,2.9,9.4,.579,.579,,.617,.594,.579,C,Rutgers,hamady-ndiaye-1
241,Sviatoslav Mykhailiuk,LAL,2,47,2018,Kansas,2014-15,2017-18,136,70,22.6,3.1,7.3,1.4,3.0,1.7,4.3,0.7,1.0,0.7,1.8,2.5,1.5,0.7,0.2,1.1,1.7,8.7,.428,.455,.409,.746,.563,.548,G,Kansas,sviatoslav-mykhailiuk-1
242,Mike Muscala,DAL,2,44,2013,Bucknell,2009-10,2012-13,133,118,28.7,5.4,10.8,5.3,10.3,0.2,0.5,4.3,5.2,2.3,6.0,8.2,1.6,0.4,2.0,1.6,2.3,15.3,.501,.510,.313,.819,.574,.508,F,Bucknell,mike-muscala-1
243,Kris Murray,POR,1,23,2023,Iowa,2020-21,2022-23,77,30,21.8,4.5,9.5,3.1,5.4,1.4,4.1,1.8,2.5,1.8,3.2,5.0,1.2,0.8,0.9,0.9,2.0,12.1,.473,.566,.348,.699,.569,.547,F,Iowa,kris-murray-1
244,Keegan Murray,SAC,1,4,2022,Iowa,2020-21,2021-22,66,39,25.4,5.9,10.9,4.7,7.6,1.2,3.3,2.8,3.7,2.3,4.7,7.0,1.0,1.1,1.6,0.9,1.9,15.8,.543,.618,.373,.749,.626,.600,F,Iowa,keegan-murray-1
245,Jamal Murray,DEN,1,7,2016,Kentucky,2015-16,2015-16,36,36,35.2,6.8,14.9,3.6,7.3,3.1,7.7,3.3,4.2,1.5,3.7,5.2,2.2,1.0,0.3,2.3,2.1,20.0,.454,.502,.408,.783,.590,.559,G,Kentucky,jamal-murray-1
246,Dejounte Murray,SAS,1,29,2016,Washington,2015-16,2015-16,34,34,33.5,5.9,14.3,4.9,10.8,1.0,3.5,3.2,4.9,1.4,4.6,6.0,4.4,1.8,0.3,3.2,2.6,16.1,.416,.457,.288,.663,.485,.451,G,Washington,dejounte-murray-1
247,Trey Murphy III,MEM,1,17,2021,Virginia,2018-19,2020-21,86,45,26.4,3.6,7.9,1.4,2.4,2.2,5.5,1.6,1.9,0.8,3.0,3.8,1.0,0.7,0.5,1.0,1.9,11.0,.455,.580,.401,.819,.623,.595,G,RiceVirginia,trey-murphyiii-1
248,Kevin Murphy,UTA,2,47,2012,Tennessee Tech,2009-10,2011-12,98,90,31.7,6.2,13.7,4.7,9.4,1.6,4.3,3.6,4.9,0.9,3.7,4.6,2.0,0.9,0.2,3.1,2.2,17.7,.454,.496,.363,.736,.549,.511,G,Tennessee Tech,kevin-murphy-1
249,Erik Murphy,CHI,2,49,2013,Florida,2009-10,2012-13,136,67,18.3,2.9,5.7,1.9,3.3,1.1,2.4,0.8,1.1,1.2,2.6,3.7,0.7,0.4,0.6,1.0,2.2,7.7,.514,.572,.435,.757,.622,.606,F,Florida,erik-murphy-1
250,Shabazz Muhammad,UTA,1,14,2013,UCLA,2012-13,2012-13,32,30,30.8,6.3,14.3,5.1,10.9,1.3,3.3,4.0,5.6,2.7,2.5,5.2,0.8,0.7,0.1,1.6,1.7,17.9,.443,.463,.377,.711,.528,.487,G,UCLA,shabazz-muhammad-1
251,Arnett Moultrie,MIA,1,27,2012,Mississippi State,2009-10,2011-12,63,63,32.2,4.9,9.6,4.7,8.7,0.3,0.9,2.8,3.8,2.8,5.7,8.5,1.2,1.1,0.8,2.3,2.2,13.0,.515,.538,.293,.736,.568,.529,F,Mississippi StateUTEP,arnett-moultrie-1
252,Monte Morris,DEN,2,51,2017,Iowa State,2013-14,2016-17,140,121,33.8,4.5,9.5,3.5,6.7,1.1,2.9,2.0,2.6,0.8,2.9,3.7,5.5,1.6,0.3,1.2,1.5,12.2,.476,.517,.381,.780,.566,.533,G,Iowa State,monte-morris-1
253,Markieff Morris,PHO,1,13,2011,Kansas,2009-10,2010-11,74,36,21.1,3.8,6.5,3.3,5.5,0.5,1.1,2.2,3.4,2.2,4.6,6.9,1.2,0.6,1.1,1.7,2.7,10.3,.582,.607,.449,.653,.632,.618,C,Kansas,markieff-morris-1
254,Marcus Morris,HOU,1,14,2011,Kansas,2009-10,2010-11,74,68,26.6,5.6,9.8,5.1,8.4,0.5,1.5,3.3,4.9,2.6,4.3,6.9,1.3,0.9,0.5,1.6,2.6,15.0,.570,.608,.352,.677,.619,.596,F,Kansas,marcus-morris-1
255,Darius Morris,LAL,2,41,2011,Michigan,2009-10,2010-11,67,53,29.8,3.8,8.0,3.4,6.5,0.3,1.5,2.0,2.9,0.7,2.3,2.9,4.8,0.8,0.1,2.3,2.0,9.9,.469,.528,.223,.695,.526,.491,G,Michigan,darius-morris-1
256,Ja Morant,MEM,1,2,2019,Murray State,2017-18,2018-19,65,65,35.3,6.1,12.6,4.8,8.9,1.3,3.8,5.1,6.3,1.5,4.6,6.1,8.2,1.4,0.6,3.8,1.7,18.7,.485,.545,.343,.810,.597,.536,G,Murray State,temetrius-morant-1
257,Wendell Moore Jr.,DAL,1,26,2022,Duke,2019-20,2021-22,88,68,29.4,3.8,8.4,3.0,5.9,0.9,2.5,2.1,2.6,1.3,3.5,4.9,3.2,1.2,0.2,2.1,2.0,10.7,.459,.502,.358,.814,.557,.512,F,Duke,wendell-moorejr-1
258,E'Twaun Moore,BOS,2,55,2011,Purdue,2009-10,2010-11,69,68,32.7,6.3,14.1,4.5,9.4,1.8,4.7,2.9,4.0,1.2,3.3,4.5,2.9,1.3,0.4,1.9,2.2,17.2,.446,.481,.377,.719,.539,.509,G,Purdue,etwaun-moore-1
259,Moses Moody,GSW,1,14,2021,Arkansas,2020-21,2020-21,32,32,33.8,5.2,12.1,3.3,7.0,1.8,5.1,4.7,5.8,2.0,3.8,5.8,1.6,1.0,0.7,1.6,2.3,16.8,.427,.478,.358,.812,.568,.503,G,Arkansas,moses-moody-1
260,Greg Monroe,DET,1,7,2010,Georgetown,2009-10,2009-10,34,34,34.2,5.9,11.3,5.7,10.5,0.2,0.8,4.1,6.1,2.2,7.5,9.6,3.8,1.2,1.5,3.3,2.6,16.1,.525,.545,.259,.660,.567,.534,C,Georgetown,greg-monroe-1
261,Malik Monk,CHA,1,11,2017,Kentucky,2016-17,2016-17,38,37,32.1,6.6,14.7,3.9,7.8,2.7,6.9,3.9,4.7,0.3,2.2,2.5,2.3,0.9,0.5,2.0,1.9,19.8,.450,.497,.397,.822,.586,.543,G,Kentucky,malik-monk-1
262,Isaiah Mobley,CLE,2,49,2022,Southern California,2019-20,2021-22,95,72,27.5,3.7,8.1,3.0,6.1,0.7,2.0,2.0,3.3,2.1,4.9,7.0,2.0,0.6,0.8,1.5,2.2,10.1,.460,.492,.360,.596,.524,.504,F,Southern California,isaiah-mobley-1
263,Evan Mobley,CLE,1,3,2021,Southern California,2020-21,2020-21,33,33,33.9,6.0,10.3,5.6,9.1,0.4,1.2,4.1,5.8,2.7,5.9,8.7,2.4,0.8,2.9,2.2,1.8,16.4,.578,.615,.300,.694,.624,.595,F,Southern California,evan-mobley-1
264,Tony Mitchell,DET,2,37,2013,North Texas,2011-12,2012-13,55,51,31.1,4.7,9.6,3.8,7.0,0.9,2.6,3.5,4.9,2.5,6.8,9.3,1.1,0.9,2.9,2.6,3.0,13.7,.490,.545,.340,.702,.576,.536,F,North Texas,tony-mitchell-4
265,Donovan Mitchell,DEN,1,13,2017,Louisville,2015-16,2016-17,65,38,26.0,4.1,9.8,2.6,5.2,1.5,4.6,2.0,2.5,1.1,3.0,4.1,2.2,1.5,0.3,1.3,2.6,11.7,.418,.497,.329,.788,.532,.495,G,Louisville,donovan-mitchell-1
266,Davion Mitchell,SAC,1,9,2021,Baylor,2017-18,2020-21,94,60,27.1,3.3,7.1,2.1,4.0,1.2,3.2,1.2,1.9,0.4,1.8,2.1,3.6,1.3,0.2,1.9,2.4,9.0,.459,.525,.376,.657,.559,.542,G,AuburnBaylor,davion-mitchell-1
267,Josh Minott,CHA,2,45,2022,Memphis,2021-22,2021-22,33,5,14.6,2.5,4.8,2.5,4.4,0.1,0.4,1.5,2.0,1.6,2.2,3.8,0.9,0.8,0.7,0.9,1.8,6.6,.522,.559,.143,.754,.571,.528,G,Memphis,josh-minott-1
268,Shake Milton,DAL,2,54,2018,SMU,2015-16,2017-18,87,80,34.7,4.5,9.9,2.3,4.8,2.2,5.1,2.3,2.9,0.4,3.4,3.9,3.9,1.1,0.4,1.8,1.6,13.4,.452,.478,.427,.791,.595,.562,G,SMU,malik-milton-1
269,Quincy Miller,DEN,2,38,2012,Baylor,2011-12,2011-12,37,35,24.4,3.7,8.4,3.1,6.5,0.6,1.9,2.5,3.1,1.5,3.5,4.9,1.4,0.7,0.6,1.8,1.9,10.6,.447,.475,.348,.816,.541,.485,F,Baylor,quincy-miller-1
