,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
30,Jalen Williams,OKC,1,12,2022,Santa Clara,2019-20,2021-22,84,72,30.5,4.5,9.5,3.4,6.5,1.1,3.0,2.6,3.3,0.5,3.2,3.7,2.9,1.2,0.5,1.6,2.6,12.6,.469,.525,.352,.785,.568,.526,G,Santa Clara,jalen-williams-13
31,Grant Williams,BOS,1,22,2019,Tennessee,2016-17,2018-19,104,101,28.9,5.3,10.2,5.0,9.2,0.3,1.0,4.8,6.4,2.5,4.0,6.5,2.1,0.9,1.5,2.1,3.2,15.7,.516,.540,.291,.758,.591,.530,F,Tennessee,grant-williams-1
32,Elliot Williams,POR,1,22,2010,Memphis,2009-10,2009-10,34,34,33.3,5.2,11.4,3.5,6.6,1.8,4.8,5.7,7.5,0.7,3.2,4.0,3.8,1.3,0.1,2.9,2.0,17.9,.459,.527,.366,.758,.599,.536,G,Memphis,elliot-williams-1
33,Derrick Williams,MIN,1,2,2011,Arizona,2009-10,2010-11,69,68,29.2,5.6,9.6,5.0,8.3,0.7,1.3,5.9,8.2,2.5,5.2,7.7,0.9,0.8,0.7,2.3,2.7,17.8,.586,.598,.511,.719,.660,.621,F,Arizona,derrick-williams-2
34,C.J. Wilcox,LAC,1,28,2014,Washington,2010-11,2013-14,131,83,28.5,4.9,11.3,2.6,5.4,2.3,5.9,2.3,2.7,0.8,2.5,3.4,1.6,0.9,0.7,1.4,1.9,14.4,.433,.481,.389,.840,.571,.535,G,Washington,cj-wilcox-1
35,Andrew Wiggins,CLE,1,1,2014,Kansas,2013-14,2013-14,35,35,32.8,5.4,12.1,4.2,8.5,1.2,3.6,5.0,6.5,2.2,3.7,5.9,1.5,1.2,1.0,2.3,2.7,17.1,.448,.493,.341,.775,.563,.499,G,Kansas,andrew-wiggins-1
36,Aaron Wiggins,OKC,2,55,2021,Maryland,2018-19,2020-21,96,50,28.2,3.9,9.6,2.1,4.6,1.8,5.0,1.4,1.8,1.1,3.6,4.6,1.6,0.9,0.4,1.4,1.8,11.0,.407,.456,.361,.769,.525,.500,G,Maryland,aaron-wiggins-1
37,Joe Wieskamp,SAS,2,41,2021,Iowa,2018-19,2020-21,97,97,29.7,4.4,9.5,2.5,4.9,1.9,4.6,2.5,3.2,1.3,4.5,5.8,1.5,0.9,0.4,1.4,1.6,13.2,.467,.519,.412,.771,.601,.567,G,Iowa,joe-wieskamp-1
38,Cam Whitmore,HOU,1,20,2023,Villanova,2022-23,2022-23,26,20,27.3,4.7,9.8,3.3,5.7,1.4,4.2,1.7,2.5,0.8,4.5,5.3,0.7,1.4,0.3,1.6,1.7,12.5,.478,.578,.343,.703,.571,.551,F,Villanova,cam-whitmore-1
39,Hassan Whiteside,SAC,2,33,2010,Marshall,2009-10,2009-10,34,23,26.1,4.9,9.4,4.8,9.2,0.1,0.1,3.2,5.5,2.7,6.2,8.9,0.3,0.6,5.4,1.9,2.4,13.1,.524,.522,.600,.588,.548,.528,C,Marshall,hassan-whiteside-1
40,Isaiah Whitehead,UTA,2,42,2016,Seton Hall,2014-15,2015-16,56,52,30.5,5.1,13.6,3.0,7.8,2.1,5.8,3.5,4.6,0.7,3.0,3.7,4.5,1.3,1.1,3.4,2.3,15.8,.375,.387,.359,.757,.500,.452,G,Seton Hall,isaiah-whitehead-1
41,Dariq Whitehead,NJN,1,22,2023,Duke,2022-23,2022-23,28,7,20.6,3.0,7.0,1.5,3.5,1.5,3.5,0.8,1.0,0.5,2.0,2.4,1.0,0.8,0.2,1.4,1.5,8.3,.421,.414,.429,.793,.548,.528,F,Duke,dariq-whitehead-1
42,Terrico White,DET,2,36,2010,Ole Miss,2009-10,2009-10,35,34,31.5,5.5,12.8,3.7,7.7,1.7,5.1,2.4,3.4,1.6,3.0,4.6,1.5,0.9,0.2,1.3,1.8,15.1,.430,.489,.341,.714,.526,.498,G,Ole Miss,terrico-white-1
43,Royce White,HOU,1,16,2012,Iowa State,2009-10,2011-12,35,33,31.1,5.1,9.5,5.0,9.2,0.1,0.3,2.9,5.9,2.4,6.7,9.1,4.9,1.2,1.0,3.7,2.5,13.2,.535,.542,.333,.498,.537,.541,F,Iowa StateMinnesota,royce-white-1
44,Derrick White,SAS,1,29,2017,Colorado,2016-17,2016-17,34,32,32.8,6.0,11.9,4.4,7.6,1.7,4.2,4.4,5.4,1.0,3.1,4.1,4.4,1.2,1.4,2.4,2.1,18.1,.507,.569,.396,.813,.627,.578,G,Colorado,derrick-white-1
