,Player,Round,Pick,Draft Year,College,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
31,Elliot Williams,1,22,2010,Memphis,34,34,33.3,5.2,11.4,3.5,6.6,1.8,4.8,5.7,7.5,0.7,3.2,4.0,3.8,1.3,0.1,2.9,2.0,17.9,0.459,0.527,0.366,0.758,0.599,0.536,G
32,Derrick Williams,1,2,2011,Arizona,69,68,29.2,5.6,9.6,5.0,8.3,0.7,1.3,5.9,8.2,2.5,5.2,7.7,0.9,0.8,0.7,2.3,2.7,17.8,0.586,0.598,0.511,0.719,0.66,0.621,F
33,C.J. Wilcox,1,28,2014,Washington,131,83,28.5,4.9,11.3,2.6,5.4,2.3,5.9,2.3,2.7,0.8,2.5,3.4,1.6,0.9,0.7,1.4,1.9,14.4,0.433,0.481,0.389,0.84,0.571,0.535,G
34,Andrew Wiggins,1,1,2014,Kansas,35,35,32.8,5.4,12.1,4.2,8.5,1.2,3.6,5.0,6.5,2.2,3.7,5.9,1.5,1.2,1.0,2.3,2.7,17.1,0.448,0.493,0.341,0.775,0.563,0.499,G
35,Aaron Wiggins,2,55,2021,Maryland,96,50,28.2,3.9,9.6,2.1,4.6,1.8,5.0,1.4,1.8,1.1,3.6,4.6,1.6,0.9,0.4,1.4,1.8,11.0,0.407,0.456,0.361,0.769,0.525,0.5,G
36,Joe Wieskamp,2,41,2021,Iowa,97,97,29.7,4.4,9.5,2.5,4.9,1.9,4.6,2.5,3.2,1.3,4.5,5.8,1.5,0.9,0.4,1.4,1.6,13.2,0.467,0.519,0.412,0.771,0.601,0.567,G
37,Cam Whitmore,1,20,2023,Villanova,26,20,27.3,4.7,9.8,3.3,5.7,1.4,4.2,1.7,2.5,0.8,4.5,5.3,0.7,1.4,0.3,1.6,1.7,12.5,0.478,0.578,0.343,0.703,0.571,0.551,F
38,Hassan Whiteside,2,33,2010,Marshall,34,23,26.1,4.9,9.4,4.8,9.2,0.1,0.1,3.2,5.5,2.7,6.2,8.9,0.3,0.6,5.4,1.9,2.4,13.1,0.524,0.522,0.6,0.588,0.548,0.528,C
39,Isaiah Whitehead,2,42,2016,Seton Hall,56,52,30.5,5.1,13.6,3.0,7.8,2.1,5.8,3.5,4.6,0.7,3.0,3.7,4.5,1.3,1.1,3.4,2.3,15.8,0.375,0.387,0.359,0.757,0.5,0.452,G
40,Dariq Whitehead,1,22,2023,Duke,28,7,20.6,3.0,7.0,1.5,3.5,1.5,3.5,0.8,1.0,0.5,2.0,2.4,1.0,0.8,0.2,1.4,1.5,8.3,0.421,0.414,0.429,0.793,0.548,0.528,F
41,Terrico White,2,36,2010,Ole Miss,35,34,31.5,5.5,12.8,3.7,7.7,1.7,5.1,2.4,3.4,1.6,3.0,4.6,1.5,0.9,0.2,1.3,1.8,15.1,0.43,0.489,0.341,0.714,0.526,0.498,G
42,Royce White,1,16,2012,Iowa State,35,33,31.1,5.1,9.5,5.0,9.2,0.1,0.3,2.9,5.9,2.4,6.7,9.1,4.9,1.2,1.0,3.7,2.5,13.2,0.535,0.542,0.333,0.498,0.537,0.541,F
43,Derrick White,1,29,2017,Colorado,34,32,32.8,6.0,11.9,4.4,7.6,1.7,4.2,4.4,5.4,1.0,3.1,4.1,4.4,1.2,1.4,2.4,2.1,18.1,0.507,0.569,0.396,0.813,0.627,0.578,G
44,Coby White,1,7,2019,North Carolina,35,35,28.5,5.4,12.7,3.0,6.1,2.3,6.6,3.0,3.7,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,0.423,0.5,0.353,0.8,0.556,0.516,G
45,Aaron White,2,49,2015,Iowa,140,119,28.1,4.2,8.2,3.8,6.6,0.4,1.6,4.4,5.7,2.1,4.4,6.4,1.4,1.1,0.6,1.5,1.6,13.3,0.517,0.572,0.281,0.773,0.611,0.543,F
46,Blake Wesley,1,25,2022,Notre Dame,35,28,29.3,5.1,12.6,3.5,7.5,1.5,5.1,2.7,4.1,0.7,3.0,3.7,2.4,1.3,0.1,2.2,1.9,14.4,0.404,0.471,0.303,0.657,0.495,0.465,G
47,Thomas Welsh,2,58,2018,UCLA,132,94,25.0,4.0,7.5,3.7,6.6,0.3,0.9,1.0,1.3,2.4,5.5,7.8,0.8,0.4,1.1,0.7,2.5,9.5,0.537,0.554,0.407,0.798,0.582,0.561,C
48,Quinndary Weatherspoon,2,49,2019,Mississippi State,131,117,31.2,5.4,11.2,4.0,7.4,1.4,3.9,3.2,4.0,1.4,3.7,5.2,2.4,1.5,0.4,2.3,2.3,15.4,0.48,0.539,0.368,0.788,0.585,0.544,G
49,Peyton Watson,1,30,2022,UCLA,32,0,12.7,1.2,3.7,1.0,2.7,0.2,1.0,0.7,1.0,0.9,2.0,2.9,0.8,0.6,0.6,0.9,1.6,3.3,0.322,0.356,0.226,0.688,0.394,0.352,G
50,Tremont Waters,2,51,2019,Louisiana State,66,61,32.7,5.2,12.2,3.2,6.5,1.9,5.7,3.3,4.2,0.3,2.8,3.1,5.9,2.5,0.1,3.2,2.1,15.6,0.423,0.496,0.34,0.807,0.551,0.503,G
51,TyTy Washington Jr.,1,29,2022,Kentucky,31,29,29.2,4.9,10.9,3.7,7.5,1.2,3.3,1.5,2.1,0.6,2.8,3.5,3.9,1.3,0.2,1.6,1.5,12.5,0.451,0.496,0.35,0.75,0.528,0.504,G
52,PJ Washington,1,12,2019,Kentucky,72,63,28.3,4.5,8.7,4.0,7.3,0.5,1.4,3.4,5.4,2.1,4.5,6.6,1.7,0.8,1.0,1.9,2.6,12.9,0.521,0.547,0.384,0.632,0.577,0.551,F
53,Willie Warren,2,54,2010,Oklahoma,21,19,32.3,5.0,11.5,3.6,6.9,1.4,4.6,4.8,6.0,0.7,2.6,3.3,4.1,1.0,0.0,3.8,2.3,16.3,0.438,0.524,0.309,0.795,0.567,0.5,G
54,T.J. Warren,1,14,2014,NC State,70,49,31.2,7.5,13.6,6.9,11.5,0.6,2.0,2.8,4.3,2.7,3.0,5.7,1.0,1.5,0.5,1.7,2.5,18.5,0.555,0.598,0.315,0.654,0.593,0.579,F
55,Jordan Walsh,2,38,2023,Arkansas,36,22,24.4,2.6,6.0,2.1,4.0,0.6,2.0,1.3,1.8,1.2,2.7,3.9,0.9,1.1,0.5,1.0,2.9,7.1,0.433,0.51,0.278,0.712,0.513,0.479,F
56,Tyrone Wallace,2,60,2016,California,129,114,31.6,4.6,11.0,3.6,7.9,0.9,3.1,2.6,4.2,1.0,4.2,5.2,3.4,1.1,0.4,2.2,2.5,12.6,0.415,0.464,0.292,0.613,0.485,0.457,G
57,Cason Wallace,1,10,2023,Kentucky,32,32,32.2,4.3,9.8,3.0,5.8,1.4,4.0,1.7,2.2,0.9,2.8,3.7,4.3,2.0,0.5,2.1,2.4,11.7,0.446,0.514,0.346,0.757,0.543,0.516,G
58,John Wall,1,1,2010,Kentucky,37,37,34.8,5.5,11.8,4.5,8.8,1.0,3.1,4.7,6.3,0.8,3.5,4.3,6.5,1.8,0.5,4.0,1.9,16.6,0.461,0.509,0.325,0.754,0.562,0.503,G
59,Lonnie Walker,1,18,2018,Miami (FL),32,18,27.8,4.1,9.9,2.4,4.9,1.8,5.1,1.5,2.0,0.4,2.2,2.6,1.9,0.9,0.5,1.2,1.6,11.5,0.415,0.487,0.346,0.738,0.527,0.503,G
60,Kemba Walker,1,9,2011,Connecticut,75,75,36.5,6.2,14.9,4.7,10.4,1.5,4.5,5.5,6.9,1.1,3.8,4.9,4.7,2.0,0.3,2.6,1.5,19.5,0.419,0.457,0.333,0.799,0.537,0.47,G
61,Jarace Walker,1,8,2023,Houston,36,35,27.6,4.4,9.4,3.4,6.6,1.0,2.8,1.5,2.2,2.3,4.5,6.8,1.8,1.0,1.3,1.5,2.1,11.2,0.465,0.515,0.347,0.663,0.534,0.516,F
62,Jabari Walker,2,57,2022,Colorado,59,33,22.0,3.9,8.1,2.9,5.6,1.0,2.5,2.7,3.5,1.7,5.4,7.2,0.9,0.6,0.6,1.8,2.3,11.5,0.479,0.515,0.399,0.783,0.589,0.541,F
63,Dion Waiters,1,4,2012,Syracuse,71,0,20.4,3.5,7.7,2.5,4.9,1.0,2.8,1.8,2.3,0.4,1.5,1.9,2.0,1.5,0.2,1.1,1.6,9.7,0.453,0.513,0.348,0.753,0.551,0.516,G
64,Moritz Wagner,1,25,2018,Michigan,107,77,21.0,3.9,7.2,2.9,4.5,1.0,2.7,1.5,2.2,1.2,3.3,4.5,0.5,0.8,0.4,1.2,2.5,10.4,0.547,0.643,0.385,0.698,0.633,0.618,F
65,Franz Wagner,1,8,2021,Michigan,55,55,31.2,4.3,9.3,2.9,5.0,1.4,4.3,2.0,2.4,0.8,5.3,6.1,2.0,1.3,0.8,1.4,2.4,12.0,0.465,0.583,0.325,0.835,0.577,0.539,G
66,Nikola Vucevic,1,16,2011,Southern California,64,64,33.7,5.3,10.6,4.8,8.7,0.6,1.9,2.9,3.9,3.0,6.9,9.9,1.4,0.6,1.3,1.8,2.8,14.1,0.504,0.546,0.311,0.742,0.569,0.532,F
67,Noah Vonleh,1,9,2014,Indiana,30,29,26.5,3.8,7.2,3.2,6.1,0.5,1.1,3.2,4.5,2.4,6.6,9.0,0.6,0.9,1.4,2.1,2.7,11.3,0.523,0.53,0.485,0.716,0.604,0.56,F
68,Rashad Vaughn,1,17,2015,UNLV,23,23,32.3,6.3,14.3,3.9,8.1,2.3,6.1,3.0,4.3,0.6,4.2,4.8,1.6,0.8,0.3,2.2,2.3,17.8,0.439,0.481,0.383,0.694,0.547,0.521,G
69,Devin Vassell,1,11,2020,Florida State,63,30,19.3,3.1,6.6,2.0,3.9,1.1,2.7,1.1,1.5,0.8,2.4,3.2,1.1,1.0,0.6,0.6,1.4,8.4,0.475,0.514,0.417,0.72,0.579,0.559,G
70,Greivis Vasquez,1,28,2010,Maryland,33,32,33.9,6.7,15.5,4.6,9.7,2.1,5.8,4.2,4.9,1.2,3.5,4.6,6.3,1.7,0.4,3.4,2.1,19.6,0.429,0.47,0.359,0.857,0.549,0.496,G
71,Jarvis Varnado,2,41,2010,Mississippi State,36,36,31.7,5.1,8.8,5.1,8.8,0.0,0.0,3.6,5.8,3.0,7.3,10.3,0.9,0.7,4.7,2.0,2.4,13.8,0.582,0.582,,0.61,0.597,0.582,F
72,Jarred Vanderbilt,2,41,2018,Kentucky,14,0,17.0,2.1,4.9,2.1,4.8,0.0,0.1,1.7,2.7,3.3,4.6,7.9,1.0,0.4,0.8,1.1,2.6,5.9,0.426,0.433,0.0,0.632,0.476,0.426,F
73,Denzel Valentine,1,14,2016,Michigan State,144,116,29.0,4.0,9.1,2.2,4.6,1.8,4.5,1.5,2.0,1.1,4.8,5.9,4.4,0.9,0.3,2.2,2.1,11.4,0.442,0.476,0.408,0.779,0.569,0.544,G
74,Tyler Ulis,2,34,2016,Kentucky,72,35,30.1,3.6,8.4,2.4,5.1,1.2,3.3,2.9,3.4,0.5,1.9,2.4,5.3,1.2,0.1,1.5,1.7,11.3,0.427,0.462,0.371,0.846,0.563,0.499,G
75,Ekpe Udoh,1,6,2010,Baylor,36,36,35.1,5.3,10.8,5.1,10.1,0.2,0.7,3.1,4.5,3.6,6.2,9.8,2.7,0.8,3.7,2.4,2.4,13.9,0.49,0.505,0.269,0.685,0.535,0.499,C
