,Player,Round,Pick,Draft Year,College,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
218,Victor Oladipo,1,2,2013,Indiana,104,75,24.6,3.9,7.3,3.4,5.9,0.5,1.4,2.5,3.5,2.0,3.2,5.2,1.7,1.5,0.5,2.0,2.4,10.7,0.538,0.585,0.338,0.716,0.604,0.57,G
219,Kezie Okpala,2,32,2019,Stanford,52,50,30.8,4.7,10.7,4.0,8.5,0.8,2.3,3.7,5.4,1.2,3.7,4.8,1.9,1.0,0.5,2.7,2.8,13.8,0.439,0.468,0.331,0.674,0.52,0.474,F
220,Isaac Okoro,1,5,2020,Auburn,28,28,31.5,4.5,8.7,3.8,6.2,0.7,2.5,3.2,4.8,1.9,2.5,4.4,2.0,0.9,0.9,2.0,2.7,12.9,0.514,0.607,0.286,0.672,0.587,0.556,F
221,Onyeka Okongwu,1,6,2020,Southern California,28,28,30.6,6.3,10.1,6.2,10.0,0.0,0.1,3.7,5.1,3.3,5.4,8.6,1.1,1.2,2.7,2.0,2.7,16.2,0.616,0.621,0.25,0.72,0.645,0.618,F
222,Josh Okogie,1,20,2018,Georgia Tech,61,61,33.0,5.4,12.3,4.3,9.4,1.1,2.8,5.1,6.6,1.8,4.0,5.8,2.0,1.5,0.8,2.3,2.7,16.9,0.437,0.454,0.382,0.777,0.55,0.481,G
223,Chuma Okeke,1,16,2019,Auburn,72,38,25.5,3.6,7.5,2.4,4.3,1.2,3.2,1.4,2.0,2.4,3.9,6.3,1.5,1.3,1.0,1.3,1.9,9.9,0.481,0.55,0.389,0.703,0.584,0.564,F
224,Jahlil Okafor,1,3,2015,Duke,38,38,30.1,7.3,11.1,7.3,11.1,0.0,0.0,2.6,5.1,3.5,4.9,8.5,1.3,0.8,1.4,2.5,2.1,17.3,0.664,0.664,,0.51,0.641,0.664,C
225,Semi Ojeleye,2,37,2017,SMU,58,35,23.1,3.8,8.0,2.4,4.6,1.4,3.4,3.2,4.1,1.6,3.1,4.6,1.0,0.4,0.3,0.9,1.4,12.3,0.479,0.526,0.415,0.785,0.618,0.567,F
226,Kyle O'Quinn,2,49,2012,Norfolk State,98,96,30.9,5.6,10.0,5.2,8.3,0.4,1.7,3.2,4.6,3.1,7.0,10.1,1.1,0.6,2.6,2.3,3.3,14.7,0.56,0.626,0.228,0.69,0.606,0.579,C
227,Johnny O'Bryant,2,36,2014,Louisiana State,91,78,27.1,4.9,10.5,4.8,10.2,0.1,0.3,2.8,4.6,3.0,4.7,7.7,1.3,0.5,0.8,2.9,2.8,12.7,0.467,0.474,0.222,0.619,0.501,0.47,F
228,Jordan Nwora,2,45,2020,Louisville,93,59,26.3,4.7,10.6,2.8,5.7,1.9,4.9,2.6,3.3,1.2,4.9,6.0,1.0,0.8,0.2,1.8,1.9,13.9,0.445,0.489,0.394,0.785,0.573,0.535,F
229,Jaylen Nowell,2,43,2019,Washington,70,67,33.5,6.0,12.6,4.7,9.4,1.3,3.2,2.8,3.5,1.0,3.7,4.6,2.9,1.2,0.3,2.7,2.5,16.1,0.476,0.504,0.396,0.789,0.563,0.527,G
230,Nerlens Noel,1,6,2013,Kentucky,24,24,31.9,4.1,6.9,4.1,6.9,0.0,0.0,2.3,4.3,2.7,6.8,9.5,1.6,2.1,4.4,1.9,2.6,10.5,0.59,0.59,,0.529,0.583,0.59,F
231,Zeke Nnaji,1,22,2020,Arizona,32,32,30.7,5.6,9.8,5.4,9.3,0.2,0.5,4.8,6.3,3.1,5.5,8.6,0.8,0.7,0.9,2.2,2.4,16.1,0.57,0.586,0.294,0.76,0.63,0.578,F
232,Andrew Nicholson,1,19,2012,St. Bonaventure,93,93,31.4,7.0,12.4,6.7,11.6,0.3,0.8,4.2,5.6,2.2,5.4,7.6,0.9,0.5,1.8,2.5,2.9,18.6,0.569,0.582,0.382,0.743,0.617,0.582,F
233,Georges Niang,2,50,2016,Iowa State,138,126,29.8,6.2,12.3,4.8,8.7,1.4,3.6,2.5,3.2,1.2,4.0,5.2,3.1,0.7,0.5,2.3,3.1,16.1,0.5,0.553,0.375,0.763,0.583,0.556,F
234,Aaron Nesmith,1,14,2020,Vanderbilt,46,33,31.0,4.8,10.8,2.2,4.5,2.6,6.3,2.6,3.1,1.0,4.3,5.3,1.3,0.9,0.7,1.6,3.0,14.7,0.442,0.485,0.41,0.825,0.598,0.561,F
235,Andrew Nembhard,2,31,2022,Gonzaga,131,115,32.1,3.7,8.3,2.6,5.0,1.1,3.3,1.4,1.8,0.2,2.7,2.9,5.3,1.2,0.1,2.0,1.8,10.0,0.446,0.515,0.343,0.79,0.545,0.515,G
236,Shabazz Napier,1,24,2014,Connecticut,143,98,32.3,4.2,10.1,2.3,5.3,1.8,4.8,3.6,4.4,0.7,3.3,4.0,4.5,1.8,0.2,2.4,2.1,13.7,0.411,0.444,0.375,0.813,0.562,0.501,G
237,Larry Nance,1,27,2015,Wyoming,123,89,29.5,4.1,8.0,3.9,7.0,0.3,1.0,2.7,3.5,1.5,5.1,6.6,1.4,1.1,1.1,1.6,2.3,11.3,0.521,0.551,0.308,0.771,0.587,0.54,F
238,Abdel Nader,2,58,2016,Iowa State,117,82,24.3,3.7,9.5,2.6,5.9,1.1,3.6,1.8,2.5,0.9,3.4,4.3,1.1,0.8,0.6,2.3,2.5,10.3,0.391,0.443,0.305,0.731,0.484,0.448,F
239,Hamady N'Diaye,2,56,2010,Rutgers,32,25,28.3,3.6,6.2,3.6,6.2,0.0,0.0,2.3,3.8,2.4,4.8,7.1,0.4,0.4,4.5,1.5,2.9,9.4,0.579,0.579,,0.617,0.594,0.579,C
240,Sviatoslav Mykhailiuk,2,47,2018,Kansas,136,70,22.6,3.1,7.3,1.4,3.0,1.7,4.3,0.7,1.0,0.7,1.8,2.5,1.5,0.7,0.2,1.1,1.7,8.7,0.428,0.455,0.409,0.746,0.563,0.548,G
241,Mike Muscala,2,44,2013,Bucknell,133,118,28.7,5.4,10.8,5.3,10.3,0.2,0.5,4.3,5.2,2.3,6.0,8.2,1.6,0.4,2.0,1.6,2.3,15.3,0.501,0.51,0.313,0.819,0.574,0.508,F
242,Kris Murray,1,23,2023,Iowa,77,30,21.8,4.5,9.5,3.1,5.4,1.4,4.1,1.8,2.5,1.8,3.2,5.0,1.2,0.8,0.9,0.9,2.0,12.1,0.473,0.566,0.348,0.699,0.569,0.547,F
243,Keegan Murray,1,4,2022,Iowa,66,39,25.4,5.9,10.9,4.7,7.6,1.2,3.3,2.8,3.7,2.3,4.7,7.0,1.0,1.1,1.6,0.9,1.9,15.8,0.543,0.618,0.373,0.749,0.626,0.6,F
244,Jamal Murray,1,7,2016,Kentucky,36,36,35.2,6.8,14.9,3.6,7.3,3.1,7.7,3.3,4.2,1.5,3.7,5.2,2.2,1.0,0.3,2.3,2.1,20.0,0.454,0.502,0.408,0.783,0.59,0.559,G
245,Dejounte Murray,1,29,2016,Washington,34,34,33.5,5.9,14.3,4.9,10.8,1.0,3.5,3.2,4.9,1.4,4.6,6.0,4.4,1.8,0.3,3.2,2.6,16.1,0.416,0.457,0.288,0.663,0.485,0.451,G
246,Trey Murphy III,1,17,2021,Virginia,86,45,26.4,3.6,7.9,1.4,2.4,2.2,5.5,1.6,1.9,0.8,3.0,3.8,1.0,0.7,0.5,1.0,1.9,11.0,0.455,0.58,0.401,0.819,0.623,0.595,G
247,Kevin Murphy,2,47,2012,Tennessee Tech,98,90,31.7,6.2,13.7,4.7,9.4,1.6,4.3,3.6,4.9,0.9,3.7,4.6,2.0,0.9,0.2,3.1,2.2,17.7,0.454,0.496,0.363,0.736,0.549,0.511,G
248,Erik Murphy,2,49,2013,Florida,136,67,18.3,2.9,5.7,1.9,3.3,1.1,2.4,0.8,1.1,1.2,2.6,3.7,0.7,0.4,0.6,1.0,2.2,7.7,0.514,0.572,0.435,0.757,0.622,0.606,F
249,Shabazz Muhammad,1,14,2013,UCLA,32,30,30.8,6.3,14.3,5.1,10.9,1.3,3.3,4.0,5.6,2.7,2.5,5.2,0.8,0.7,0.1,1.6,1.7,17.9,0.443,0.463,0.377,0.711,0.528,0.487,G
250,Arnett Moultrie,1,27,2012,Mississippi State,63,63,32.2,4.9,9.6,4.7,8.7,0.3,0.9,2.8,3.8,2.8,5.7,8.5,1.2,1.1,0.8,2.3,2.2,13.0,0.515,0.538,0.293,0.736,0.568,0.529,F
251,Monte Morris,2,51,2017,Iowa State,140,121,33.8,4.5,9.5,3.5,6.7,1.1,2.9,2.0,2.6,0.8,2.9,3.7,5.5,1.6,0.3,1.2,1.5,12.2,0.476,0.517,0.381,0.78,0.566,0.533,G
252,Markieff Morris,1,13,2011,Kansas,74,36,21.1,3.8,6.5,3.3,5.5,0.5,1.1,2.2,3.4,2.2,4.6,6.9,1.2,0.6,1.1,1.7,2.7,10.3,0.582,0.607,0.449,0.653,0.632,0.618,C
253,Marcus Morris,1,14,2011,Kansas,74,68,26.6,5.6,9.8,5.1,8.4,0.5,1.5,3.3,4.9,2.6,4.3,6.9,1.3,0.9,0.5,1.6,2.6,15.0,0.57,0.608,0.352,0.677,0.619,0.596,F
254,Darius Morris,2,41,2011,Michigan,67,53,29.8,3.8,8.0,3.4,6.5,0.3,1.5,2.0,2.9,0.7,2.3,2.9,4.8,0.8,0.1,2.3,2.0,9.9,0.469,0.528,0.223,0.695,0.526,0.491,G
255,Ja Morant,1,2,2019,Murray State,65,65,35.3,6.1,12.6,4.8,8.9,1.3,3.8,5.1,6.3,1.5,4.6,6.1,8.2,1.4,0.6,3.8,1.7,18.7,0.485,0.545,0.343,0.81,0.597,0.536,G
256,Wendell Moore Jr.,1,26,2022,Duke,88,68,29.4,3.8,8.4,3.0,5.9,0.9,2.5,2.1,2.6,1.3,3.5,4.9,3.2,1.2,0.2,2.1,2.0,10.7,0.459,0.502,0.358,0.814,0.557,0.512,F
257,E'Twaun Moore,2,55,2011,Purdue,69,68,32.7,6.3,14.1,4.5,9.4,1.8,4.7,2.9,4.0,1.2,3.3,4.5,2.9,1.3,0.4,1.9,2.2,17.2,0.446,0.481,0.377,0.719,0.539,0.509,G
258,Moses Moody,1,14,2021,Arkansas,32,32,33.8,5.2,12.1,3.3,7.0,1.8,5.1,4.7,5.8,2.0,3.8,5.8,1.6,1.0,0.7,1.6,2.3,16.8,0.427,0.478,0.358,0.812,0.568,0.503,G
259,Greg Monroe,1,7,2010,Georgetown,34,34,34.2,5.9,11.3,5.7,10.5,0.2,0.8,4.1,6.1,2.2,7.5,9.6,3.8,1.2,1.5,3.3,2.6,16.1,0.525,0.545,0.259,0.66,0.567,0.534,C
260,Malik Monk,1,11,2017,Kentucky,38,37,32.1,6.6,14.7,3.9,7.8,2.7,6.9,3.9,4.7,0.3,2.2,2.5,2.3,0.9,0.5,2.0,1.9,19.8,0.45,0.497,0.397,0.822,0.586,0.543,G
261,Isaiah Mobley,2,49,2022,Southern California,95,72,27.5,3.7,8.1,3.0,6.1,0.7,2.0,2.0,3.3,2.1,4.9,7.0,2.0,0.6,0.8,1.5,2.2,10.1,0.46,0.492,0.36,0.596,0.524,0.504,F
262,Evan Mobley,1,3,2021,Southern California,33,33,33.9,6.0,10.3,5.6,9.1,0.4,1.2,4.1,5.8,2.7,5.9,8.7,2.4,0.8,2.9,2.2,1.8,16.4,0.578,0.615,0.3,0.694,0.624,0.595,F
263,Tony Mitchell,2,37,2013,North Texas,55,51,31.1,4.7,9.6,3.8,7.0,0.9,2.6,3.5,4.9,2.5,6.8,9.3,1.1,0.9,2.9,2.6,3.0,13.7,0.49,0.545,0.34,0.702,0.576,0.536,F
264,Donovan Mitchell,1,13,2017,Louisville,65,38,26.0,4.1,9.8,2.6,5.2,1.5,4.6,2.0,2.5,1.1,3.0,4.1,2.2,1.5,0.3,1.3,2.6,11.7,0.418,0.497,0.329,0.788,0.532,0.495,G
265,Davion Mitchell,1,9,2021,Baylor,94,60,27.1,3.3,7.1,2.1,4.0,1.2,3.2,1.2,1.9,0.4,1.8,2.1,3.6,1.3,0.2,1.9,2.4,9.0,0.459,0.525,0.376,0.657,0.559,0.542,G
266,Josh Minott,2,45,2022,Memphis,33,5,14.6,2.5,4.8,2.5,4.4,0.1,0.4,1.5,2.0,1.6,2.2,3.8,0.9,0.8,0.7,0.9,1.8,6.6,0.522,0.559,0.143,0.754,0.571,0.528,G
267,Shake Milton,2,54,2018,SMU,87,80,34.7,4.5,9.9,2.3,4.8,2.2,5.1,2.3,2.9,0.4,3.4,3.9,3.9,1.1,0.4,1.8,1.6,13.4,0.452,0.478,0.427,0.791,0.595,0.562,G
268,Quincy Miller,2,38,2012,Baylor,37,35,24.4,3.7,8.4,3.1,6.5,0.6,1.9,2.5,3.1,1.5,3.5,4.9,1.4,0.7,0.6,1.8,1.9,10.6,0.447,0.475,0.348,0.816,0.541,0.485,F
269,Jordan Miller,2,48,2023,Miami (FL),142,133,32.4,4.9,9.6,4.1,7.1,0.8,2.4,2.2,3.0,2.3,3.7,6.0,1.7,1.2,0.4,1.4,2.0,12.8,0.515,0.579,0.329,0.729,0.585,0.557,G
270,Darius Miller,2,46,2012,Kentucky,116,80,26.1,3.3,7.1,1.9,3.6,1.4,3.5,1.2,1.5,1.0,2.2,3.3,1.8,0.8,0.7,1.3,2.2,9.1,0.456,0.525,0.385,0.818,0.579,0.551,G
271,Brandon Miller,1,2,2023,Alabama,37,37,32.6,6.0,13.9,3.1,6.5,2.9,7.5,3.9,4.6,2.1,6.2,8.2,2.1,0.9,0.9,2.2,2.4,18.8,0.43,0.483,0.384,0.859,0.583,0.533,F
272,Khris Middleton,2,39,2012,Texas A&M,87,72,26.0,3.9,9.1,2.9,5.8,1.1,3.3,2.4,3.1,1.5,3.0,4.6,2.0,1.0,0.2,2.0,2.1,11.3,0.431,0.494,0.321,0.768,0.534,0.489,F
273,Jordan Mickey,2,33,2015,Louisiana State,65,65,33.8,5.6,10.8,5.6,10.6,0.0,0.2,2.9,4.3,2.7,6.1,8.8,1.2,0.8,3.4,2.8,2.4,14.0,0.518,0.527,0.071,0.669,0.548,0.519,F
274,Chimezie Metu,2,49,2018,Southern California,104,71,27.0,4.8,8.9,4.6,8.5,0.1,0.4,2.7,3.9,1.8,4.5,6.3,1.2,0.7,1.6,1.7,2.5,12.3,0.533,0.545,0.302,0.692,0.573,0.54,F
275,Sam Merrill,2,60,2020,Utah State,131,118,33.3,5.5,11.6,3.0,5.8,2.4,5.8,3.4,3.8,0.3,3.3,3.6,3.6,1.0,0.2,1.6,2.4,16.8,0.47,0.52,0.42,0.891,0.624,0.575,G
276,De'Anthony Melton,2,46,2018,Southern California,36,25,27.0,2.8,6.4,2.2,4.4,0.6,2.1,2.1,3.0,1.4,3.3,4.7,3.5,1.9,1.0,1.8,2.3,8.3,0.437,0.51,0.284,0.706,0.53,0.483,G
277,Fab Melo,1,22,2012,Syracuse,63,54,17.3,2.1,3.6,2.1,3.6,0.0,0.0,0.7,1.3,1.6,2.2,3.8,0.5,0.4,1.8,1.1,2.3,4.9,0.576,0.576,,0.553,0.577,0.576,C
278,Jordan McRae,2,58,2014,Tennessee,114,74,27.1,4.4,10.4,2.8,5.9,1.6,4.6,3.1,4.0,0.7,2.6,3.3,1.8,0.6,0.9,2.0,1.9,13.3,0.417,0.475,0.343,0.769,0.541,0.492,G
279,Ben McLemore,1,7,2013,Kansas,37,36,32.2,5.4,10.8,3.4,6.1,2.0,4.7,3.2,3.7,1.3,3.9,5.2,2.0,1.0,0.7,2.1,1.9,15.9,0.495,0.553,0.42,0.87,0.633,0.586,G
280,Bryce McGowens,2,40,2022,Nebraska,31,31,33.3,5.2,12.8,3.9,8.1,1.3,4.7,5.2,6.3,0.7,4.5,5.2,1.4,0.7,0.3,2.1,2.0,16.8,0.403,0.478,0.274,0.831,0.533,0.453,G
281,Mitch McGary,1,21,2014,Michigan,47,12,20.6,3.5,5.9,3.5,5.9,0.0,0.0,0.8,1.6,2.6,4.0,6.6,0.8,1.2,0.7,1.3,2.5,7.8,0.588,0.592,0.0,0.513,0.582,0.588,F
282,Doug McDermott,1,11,2014,Creighton,145,145,31.5,7.9,14.3,6.0,10.2,1.9,4.1,4.1,4.9,1.9,5.6,7.5,1.3,0.2,0.1,2.2,1.8,21.7,0.55,0.587,0.458,0.831,0.652,0.616,F
283,K.J. McDaniels,2,32,2014,Clemson,94,61,24.3,3.9,8.6,3.0,5.8,0.9,2.8,2.4,3.2,1.8,3.0,4.8,0.9,0.9,1.9,1.5,1.8,11.0,0.45,0.516,0.313,0.767,0.547,0.501,F
284,Jalen McDaniels,2,52,2019,San Diego State,67,55,27.9,5.0,10.0,4.6,8.6,0.4,1.4,2.7,3.6,2.1,5.8,7.9,1.5,1.0,0.5,1.8,2.6,13.2,0.504,0.538,0.298,0.758,0.565,0.525,F
285,Jaden McDaniels,1,28,2020,Washington,31,21,31.1,4.4,10.8,3.0,6.7,1.4,4.1,2.8,3.7,1.1,4.7,5.8,2.1,0.8,1.4,3.2,3.3,13.0,0.405,0.445,0.339,0.763,0.515,0.469,F
286,Chris McCullough,1,29,2015,Syracuse,16,16,28.1,3.4,7.1,3.3,7.0,0.1,0.1,2.5,4.4,2.3,4.6,6.9,1.1,1.7,2.1,2.2,2.6,9.3,0.478,0.473,1.0,0.563,0.508,0.482,F
287,C.J. McCollum,1,10,2013,Lehigh,111,108,32.9,6.9,15.7,5.0,10.5,2.0,5.2,5.5,6.7,1.5,4.8,6.3,2.7,2.1,0.5,2.4,1.8,21.3,0.439,0.47,0.377,0.825,0.563,0.501,G
288,Patrick McCaw,2,38,2016,UNLV,65,48,31.7,4.2,9.6,2.3,4.3,1.9,5.2,1.9,2.5,0.9,3.3,4.2,3.3,2.0,0.4,1.9,1.9,12.2,0.439,0.527,0.367,0.753,0.567,0.539,G
289,Ray McCallum,2,36,2013,Detroit Mercy,102,101,34.5,5.4,11.5,4.4,8.2,1.0,3.3,4.2,5.8,1.2,3.5,4.8,4.4,1.7,0.3,2.3,2.1,15.9,0.465,0.536,0.29,0.723,0.556,0.507,G
290,Miles McBride,2,36,2021,West Virginia,60,30,28.0,4.3,10.3,3.2,7.1,1.2,3.2,2.8,3.6,0.8,2.3,3.1,3.3,1.5,0.4,1.6,1.7,12.6,0.419,0.442,0.368,0.785,0.525,0.476,G
291,Skylar Mays,2,50,2020,Louisiana State,130,121,30.5,4.0,9.0,2.7,5.1,1.3,3.9,3.1,3.7,0.5,3.1,3.6,2.9,1.6,0.2,1.8,1.7,12.4,0.445,0.52,0.345,0.845,0.58,0.519,G
292,Tyrese Maxey,1,21,2020,Kentucky,31,28,34.5,4.8,11.3,3.8,7.7,1.1,3.6,3.2,3.9,0.4,3.9,4.3,3.2,0.9,0.4,2.2,2.4,14.0,0.427,0.492,0.292,0.833,0.531,0.474,G
293,Bennedict Mathurin,1,6,2022,Arizona,63,49,29.4,4.9,10.7,2.9,5.6,1.9,5.0,3.2,4.1,1.3,4.0,5.3,2.0,0.9,0.2,1.5,1.8,14.8,0.456,0.521,0.383,0.789,0.59,0.546,G
294,Frank Mason,2,34,2017,Kansas,145,113,30.0,4.2,9.2,2.9,6.2,1.3,3.0,3.3,4.4,0.5,2.9,3.4,4.0,1.1,0.1,1.9,2.0,13.0,0.454,0.471,0.42,0.761,0.574,0.524,G
295,Tyrese Martin,2,51,2022,Connecticut,114,99,30.8,4.2,9.6,3.0,6.1,1.2,3.4,1.6,2.4,2.3,4.5,6.7,1.3,0.9,0.4,1.7,2.1,11.1,0.435,0.486,0.346,0.67,0.52,0.498,G
296,Jarell Martin,1,25,2015,Louisiana State,65,57,30.7,5.0,10.1,4.3,8.0,0.6,2.0,3.1,4.5,2.4,4.6,6.9,1.4,1.0,0.7,2.2,2.6,13.7,0.494,0.541,0.308,0.689,0.56,0.525,F
297,Cody Martin,2,36,2019,Nevada,122,87,28.9,3.7,7.4,3.3,6.1,0.4,1.3,1.9,2.7,1.4,3.2,4.6,3.6,1.3,0.8,1.6,2.3,9.7,0.501,0.539,0.325,0.689,0.558,0.529,F
298,Kendall Marshall,1,13,2012,North Carolina,73,55,28.8,2.5,5.6,1.8,3.8,0.7,1.8,1.5,2.2,0.2,2.2,2.3,8.0,1.1,0.1,2.6,1.5,7.2,0.446,0.484,0.366,0.693,0.541,0.505,G
299,Lauri Markkanen,1,7,2017,Arizona,37,37,30.8,5.0,10.2,3.1,5.8,1.9,4.4,3.7,4.4,2.4,4.8,7.2,0.9,0.4,0.5,1.1,2.0,15.6,0.492,0.545,0.423,0.835,0.635,0.584,F
300,Roy Devyn Marble,2,56,2014,Iowa,136,103,27.6,4.1,10.0,3.2,7.1,1.0,2.9,3.2,4.4,0.9,2.5,3.4,2.9,1.3,0.2,1.7,1.6,12.5,0.415,0.447,0.338,0.726,0.516,0.464,G
301,Nico Mannion,2,48,2020,Arizona,32,32,32.3,4.5,11.5,2.8,6.4,1.7,5.1,3.3,4.2,0.3,2.3,2.5,5.3,1.2,0.0,2.6,1.7,14.0,0.392,0.444,0.327,0.797,0.52,0.465,G
302,Tre Mann,1,18,2021,Florida,53,28,24.4,3.6,8.5,2.3,4.9,1.3,3.6,1.8,2.2,0.5,3.1,3.6,1.9,0.9,0.1,1.9,2.1,10.2,0.422,0.477,0.349,0.788,0.534,0.497,G
303,Terance Mann,2,48,2019,Florida State,140,101,25.9,3.6,6.5,3.2,5.4,0.4,1.2,1.8,2.8,1.9,3.2,5.1,1.9,0.8,0.2,1.4,2.0,9.4,0.552,0.601,0.327,0.67,0.602,0.581,G
304,Sandro Mamukelashvili,2,54,2021,Seton Hall,115,79,24.4,3.5,7.6,2.6,5.0,0.9,2.6,1.7,2.6,1.7,4.0,5.7,1.6,0.6,0.7,1.6,2.0,9.6,0.459,0.521,0.339,0.663,0.542,0.517,F
305,Ater Majok,2,58,2011,,26,22,14.7,1.0,2.3,1.0,2.3,0.0,0.0,0.3,0.8,1.2,1.8,3.0,0.2,0.2,1.6,0.8,2.0,2.3,0.424,0.424,,0.409,0.425,0.424,F
306,Vernon Macklin,2,52,2011,Florida,71,69,24.8,4.9,8.2,4.9,8.2,0.0,0.0,1.3,2.6,2.4,3.0,5.5,0.8,0.5,0.8,1.5,2.4,11.1,0.599,0.599,,0.511,0.591,0.599,F
307,Shelvin Mack,2,34,2011,Butler,76,75,31.5,5.2,12.1,3.1,6.4,2.1,5.7,2.6,3.5,0.6,3.5,4.1,3.2,1.1,0.1,2.3,1.8,15.1,0.429,0.481,0.37,0.755,0.549,0.516,G
308,Trey Lyles,1,12,2015,Kentucky,36,21,23.0,3.3,6.7,3.1,5.9,0.1,0.8,2.1,2.8,1.8,3.4,5.2,1.1,0.5,0.4,1.1,1.6,8.7,0.488,0.536,0.138,0.735,0.543,0.496,F
309,Tyler Lydon,1,24,2017,Syracuse,71,34,33.1,3.9,8.2,2.5,4.8,1.4,3.5,2.4,2.9,2.0,5.4,7.4,1.6,1.1,1.6,1.5,2.6,11.6,0.476,0.531,0.4,0.809,0.602,0.56,F
310,Seth Lundy,2,46,2023,Penn State,122,96,26.0,3.5,8.4,1.6,3.3,1.9,5.1,1.7,2.1,0.9,3.7,4.6,0.7,0.7,0.5,1.1,2.1,10.5,0.412,0.48,0.368,0.814,0.558,0.523,F
311,Kevon Looney,1,30,2015,UCLA,36,36,30.9,4.2,8.9,3.6,7.4,0.6,1.5,2.6,4.1,3.4,5.8,9.2,1.4,1.3,0.9,1.3,2.9,11.6,0.47,0.481,0.415,0.626,0.532,0.505,F
312,Chris Livingston,2,58,2023,Kentucky,34,26,22.4,2.3,5.4,1.8,3.7,0.5,1.7,1.1,1.6,1.1,3.1,4.2,0.7,0.4,0.4,0.9,1.7,6.3,0.429,0.488,0.305,0.722,0.513,0.478,F
313,Isaiah Livers,2,42,2021,Michigan,119,69,23.4,2.9,6.3,1.5,2.9,1.4,3.3,1.1,1.3,0.9,2.9,3.8,0.9,0.5,0.5,0.8,1.6,8.3,0.465,0.526,0.412,0.856,0.604,0.575,F
314,Dereck Lively II,1,12,2023,Duke,34,27,20.6,2.3,3.4,2.2,3.1,0.1,0.4,0.6,1.0,2.1,3.3,5.4,1.1,0.5,2.4,0.7,2.7,5.2,0.658,0.721,0.154,0.6,0.662,0.667,C
315,Nassir Little,1,25,2019,North Carolina,36,0,18.2,3.6,7.6,3.3,6.2,0.4,1.4,2.1,2.8,1.6,3.0,4.6,0.7,0.5,0.5,1.3,1.6,9.8,0.478,0.527,0.269,0.77,0.549,0.504,F
316,Damian Lillard,1,6,2012,Weber State,73,72,33.6,6.4,14.2,3.7,7.4,2.7,6.8,6.2,7.1,0.5,4.0,4.4,3.7,1.3,0.2,2.4,2.0,21.6,0.449,0.499,0.395,0.871,0.615,0.544,G
317,DeAndre Liggins,2,53,2011,Kentucky,67,28,24.6,2.2,5.2,1.5,3.2,0.7,2.0,1.4,2.1,0.6,2.7,3.3,1.8,1.0,0.5,1.1,2.0,6.5,0.423,0.458,0.368,0.632,0.522,0.494,G
318,E.J. Liddell,2,41,2022,Ohio State,92,61,26.4,4.7,9.8,3.8,7.3,0.8,2.5,3.9,5.2,1.7,4.4,6.1,1.6,0.5,1.6,1.7,2.4,14.1,0.48,0.528,0.341,0.749,0.577,0.523,F
319,Scottie Lewis,2,56,2021,Florida,51,31,27.6,2.7,6.2,2.0,4.1,0.7,2.1,2.0,2.7,0.9,2.5,3.4,1.1,1.4,1.1,1.4,2.3,8.2,0.443,0.493,0.343,0.759,0.551,0.5,G
320,Maxwell Lewis,2,40,2023,Pepperdine,52,33,26.6,5.2,11.4,3.7,7.1,1.5,4.3,2.8,3.5,1.1,3.6,4.7,2.2,1.0,0.7,2.9,2.5,14.6,0.453,0.512,0.354,0.791,0.559,0.519,F
321,Kira Lewis Jr.,1,13,2020,Alabama,65,65,34.5,5.6,12.5,3.9,7.8,1.7,4.7,3.0,3.8,0.6,3.0,3.6,4.0,1.3,0.4,2.8,2.2,15.9,0.447,0.498,0.362,0.793,0.555,0.515,G
322,Caris LeVert,1,20,2016,Michigan,103,70,26.4,3.6,8.2,2.3,4.9,1.3,3.2,2.0,2.6,0.4,3.2,3.5,2.7,0.9,0.2,1.3,1.5,10.4,0.434,0.456,0.401,0.77,0.552,0.514,G
323,Jon Leuer,2,40,2011,Wisconsin,58,56,31.6,6.4,13.0,5.1,9.7,1.2,3.3,3.1,3.9,1.6,5.1,6.6,1.6,0.5,1.1,1.3,2.2,17.1,0.489,0.528,0.375,0.793,0.574,0.536,F
324,Travis Leslie,2,47,2011,Georgia,64,64,30.8,5.4,11.0,5.1,10.2,0.3,0.8,3.5,4.5,3.2,3.9,7.0,2.7,1.3,0.8,2.4,2.0,14.6,0.489,0.501,0.352,0.766,0.553,0.503,G
325,Meyers Leonard,1,11,2012,Illinois,65,30,19.8,3.0,5.4,3.0,5.2,0.0,0.2,1.6,2.2,1.3,3.4,4.7,0.7,0.3,1.1,1.4,2.2,7.7,0.567,0.585,0.083,0.729,0.601,0.569,C
326,Kawhi Leonard,1,15,2011,San Diego State,70,69,31.9,5.4,12.0,4.8,9.7,0.6,2.3,2.8,3.7,3.3,6.9,10.2,2.2,1.4,0.6,2.2,2.5,14.1,0.449,0.497,0.25,0.744,0.513,0.473,F
327,Alex Len,1,5,2013,Maryland,60,48,24.5,3.8,7.0,3.7,6.8,0.0,0.2,2.2,3.3,2.4,4.5,7.0,0.8,0.2,2.1,1.6,2.6,9.7,0.538,0.548,0.111,0.663,0.569,0.539,C
