,Player,Round,Pick,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
404,Jimmer Fredette,1,10,2.2,2011-12,2018-19,22-29,241,7,0,13.3,2.2,5.3,1.4,3.2,0.8,2.2,0.8,0.9,0.2,0.8,1.0,1.4,0.4,0.0,0.9,0.9,6.0,0.409,0.434,0.372,0.879,0.521,0.484,G
405,Melvin Frazier,2,35,-0.4,2018-19,2021-22,22-25,32,0,0,9.1,1.1,3.2,0.8,1.9,0.3,1.3,0.3,0.5,0.3,0.6,0.9,0.2,0.3,0.1,0.3,0.8,2.7,0.34,0.433,0.209,0.533,0.397,0.383,G
406,Jamaal Franklin,2,41,0.0,2013-14,2014-15,22-23,24,0,0,7.3,0.7,1.7,0.5,1.2,0.3,0.5,0.1,0.1,0.2,0.8,1.0,0.4,0.2,0.1,0.6,1.1,1.8,0.415,0.393,0.462,1.0,0.501,0.488,G
407,De'Aaron Fox,1,5,23.1,2017-18,2022-23,20-25,395,380,1,32.3,7.5,15.8,6.2,12.0,1.2,3.8,4.0,5.5,0.5,3.1,3.7,6.2,1.3,0.4,2.7,2.6,20.2,0.472,0.521,0.321,0.736,0.554,0.511,G
408,Malachi Flynn,1,29,2.3,2020-21,2022-23,22-24,144,21,0,15.0,2.0,5.3,1.1,2.6,0.9,2.7,0.6,0.8,0.2,1.5,1.8,1.9,0.5,0.1,0.6,1.2,5.5,0.374,0.414,0.335,0.752,0.484,0.459,G
409,Landry Fields,2,39,10.5,2010-11,2014-15,22-26,255,176,0,23.6,2.7,5.7,2.2,4.3,0.5,1.4,1.0,1.4,1.0,3.3,4.3,1.6,0.8,0.2,1.1,1.2,6.8,0.473,0.52,0.332,0.666,0.539,0.515,F
410,Bruno Fernando,2,34,2.1,2019-20,2022-23,21-24,158,17,0,9.5,1.4,2.6,1.3,2.3,0.0,0.3,0.6,0.9,1.0,2.0,3.0,0.6,0.2,0.4,0.6,1.4,3.4,0.527,0.575,0.133,0.639,0.56,0.534,F
411,Carrick Felix,2,33,0.0,2013-14,2013-14,23,7,0,0,5.4,1.0,2.0,0.7,1.3,0.3,0.7,0.4,0.6,0.1,0.7,0.9,0.6,0.0,0.0,0.6,0.6,2.7,0.5,0.556,0.4,0.75,0.603,0.571,G
412,Kay Felder,2,54,-0.4,2016-17,2017-18,21-22,58,0,0,9.1,1.4,3.9,1.2,3.2,0.2,0.7,0.8,1.1,0.1,0.9,1.0,1.3,0.4,0.1,0.8,0.8,3.8,0.364,0.385,0.268,0.754,0.438,0.388,G
413,Derrick Favors,1,3,60.2,2010-11,2021-22,19-30,790,503,0,24.3,4.3,8.1,4.3,7.9,0.0,0.2,1.9,2.8,2.4,4.7,7.1,1.1,0.7,1.2,1.3,2.5,10.6,0.534,0.544,0.198,0.663,0.566,0.537,F-C
414,Kenneth Faried,1,22,38.8,2011-12,2018-19,22-29,478,385,0,24.5,4.6,8.4,4.6,8.3,0.0,0.1,2.2,3.3,3.1,5.1,8.1,1.0,0.7,0.8,1.3,2.5,11.4,0.546,0.55,0.222,0.654,0.577,0.548,F-C
415,Festus Ezeli,1,30,5.9,2012-13,2015-16,23-26,170,61,0,14.1,1.6,3.2,1.6,3.2,0.0,0.0,1.0,1.7,1.7,2.5,4.3,0.4,0.3,1.0,0.8,1.9,4.2,0.513,0.513,,0.557,0.536,0.513,C
416,Jeremy Evans,2,55,8.2,2010-11,2017-18,23-30,250,9,0,10.5,1.5,2.6,1.4,2.5,0.0,0.1,0.6,0.8,1.0,1.6,2.6,0.4,0.4,0.5,0.3,1.2,3.5,0.569,0.583,0.231,0.687,0.6,0.573,F
417,Jawun Evans,2,39,-0.4,2017-18,2018-19,21-22,56,4,0,15.1,1.6,4.8,1.4,3.8,0.3,1.0,0.7,0.9,0.2,1.5,1.7,2.0,0.7,0.1,0.9,1.9,4.2,0.345,0.367,0.263,0.776,0.411,0.373,G
418,Jacob Evans,1,28,-0.6,2018-19,2019-20,21-22,59,2,0,10.5,1.1,3.2,0.8,2.3,0.3,0.9,0.4,0.5,0.3,0.9,1.1,0.9,0.3,0.3,0.6,1.2,2.8,0.337,0.346,0.315,0.833,0.42,0.382,G-F
419,Tyler Ennis,1,18,1.3,2014-15,2017-18,20-23,186,21,0,12.6,1.7,4.1,1.4,3.0,0.4,1.1,0.4,0.5,0.3,1.1,1.3,1.9,0.5,0.1,0.9,1.3,4.2,0.419,0.458,0.317,0.768,0.484,0.463,G
420,Kim English,2,44,0.2,2012-13,2012-13,24,41,0,0,9.9,1.0,2.7,0.7,1.5,0.3,1.2,0.5,0.7,0.2,0.7,0.9,0.6,0.4,0.1,0.5,1.1,2.9,0.375,0.452,0.28,0.724,0.477,0.438,G
421,Joel Embiid,1,3,56.0,2016-17,2022-23,22-28,394,394,6,31.8,9.0,17.9,7.8,14.5,1.2,3.4,8.1,9.9,2.2,8.9,11.2,3.4,0.9,1.7,3.4,3.1,27.2,0.501,0.54,0.337,0.819,0.611,0.533,C
422,Henry Ellenson,1,18,0.4,2016-17,2020-21,20-24,83,2,0,9.5,1.5,3.9,0.9,2.2,0.6,1.8,0.6,0.8,0.3,2.1,2.5,0.6,0.2,0.0,0.5,0.8,4.1,0.371,0.4,0.336,0.773,0.482,0.446,F
423,CJ Elleby,2,46,0.5,2020-21,2021-22,20-21,88,28,0,15.5,1.7,4.3,1.2,2.4,0.5,1.8,0.8,1.1,0.9,2.1,2.9,1.1,0.5,0.3,0.7,1.6,4.6,0.39,0.477,0.275,0.717,0.487,0.449,F
424,Vince Edwards,2,52,0.0,2018-19,2018-19,22,2,0,0,8.0,0.5,2.0,0.0,0.0,0.5,2.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.5,0.25,,0.25,,0.375,0.375,F
425,Kessler Edwards,2,44,1.0,2021-22,2022-23,21-22,84,27,0,16.3,1.7,4.3,1.0,2.0,0.8,2.3,0.3,0.4,0.8,2.0,2.8,0.6,0.5,0.4,0.7,1.5,4.6,0.406,0.479,0.34,0.794,0.512,0.496,F
426,Carsen Edwards,2,33,0.3,2019-20,2021-22,21-23,72,1,0,9.8,1.4,3.7,0.7,1.6,0.6,2.2,0.3,0.5,0.2,0.9,1.1,0.7,0.3,0.1,0.4,0.9,3.7,0.364,0.456,0.297,0.758,0.471,0.45,G
427,Anthony Edwards,1,1,8.9,2020-21,2022-23,19-21,223,206,1,34.2,7.9,17.9,5.2,10.3,2.7,7.6,3.4,4.4,0.8,4.3,5.1,3.7,1.4,0.6,2.7,2.1,21.8,0.441,0.506,0.352,0.77,0.55,0.516,G-F
428,Devin Ebanks,2,43,0.5,2010-11,2012-13,21-23,63,15,0,11.3,1.3,3.4,1.2,2.8,0.1,0.6,0.8,1.1,0.8,1.1,1.9,0.4,0.3,0.2,0.6,0.9,3.6,0.385,0.418,0.222,0.722,0.458,0.404,F
429,Tari Eason,1,17,2.6,2022-23,2022-23,21,82,5,0,21.5,3.6,8.0,2.9,6.0,0.7,2.1,1.3,1.8,2.4,3.7,6.0,1.1,1.2,0.6,1.2,2.3,9.3,0.448,0.486,0.343,0.752,0.525,0.493,F
430,Cleanthony Early,2,34,-0.6,2014-15,2015-16,23-24,56,9,0,14.3,1.6,4.5,1.1,2.8,0.5,1.8,0.7,0.9,0.5,1.7,2.2,0.8,0.5,0.3,0.9,1.3,4.3,0.346,0.4,0.263,0.75,0.435,0.398,F
431,Jalen Duren,1,13,4.5,2022-23,2022-23,19,67,31,0,24.9,3.9,5.9,3.9,5.9,0.0,0.0,1.4,2.3,3.4,5.5,8.9,1.1,0.7,0.9,1.4,2.7,9.1,0.648,0.652,0.0,0.611,0.655,0.648,C
432,Kris Dunn,1,5,5.8,2016-17,2022-23,22-28,267,132,0,24.2,3.5,8.1,2.9,6.3,0.5,1.7,1.0,1.4,0.4,3.0,3.4,4.3,1.5,0.4,1.8,2.9,8.6,0.432,0.465,0.313,0.744,0.492,0.466,G
433,Chris Duarte,1,13,0.9,2021-22,2022-23,24-25,101,51,0,24.1,3.9,9.4,2.4,5.2,1.5,4.2,1.5,1.8,0.6,2.8,3.4,1.8,0.8,0.2,1.3,1.6,10.7,0.41,0.461,0.347,0.821,0.523,0.488,G
434,Andre Drummond,1,9,70.5,2012-13,2022-23,19-29,785,630,2,28.2,5.5,10.2,5.5,10.1,0.0,0.1,2.1,4.3,4.3,8.4,12.7,1.3,1.3,1.4,1.9,3.0,13.2,0.542,0.548,0.128,0.475,0.542,0.543,C
435,Damyean Dotson,2,44,3.0,2017-18,2021-22,23-27,213,49,0,19.9,2.8,6.8,1.6,3.3,1.2,3.4,0.6,0.9,0.3,2.2,2.5,1.5,0.5,0.1,0.7,1.2,7.5,0.417,0.491,0.345,0.711,0.521,0.504,G
436,Ayo Dosunmu,2,38,6.0,2021-22,2022-23,22-23,157,91,0,26.8,3.6,7.0,2.7,4.6,0.8,2.4,0.8,1.0,0.5,2.3,2.8,2.9,0.8,0.4,1.3,2.3,8.7,0.506,0.589,0.344,0.744,0.581,0.564,G
437,Tyler Dorsey,2,41,1.1,2017-18,2022-23,21-26,107,16,0,15.7,2.4,6.1,1.3,3.0,1.1,3.1,0.8,1.2,0.4,1.9,2.3,1.3,0.3,0.1,0.6,1.1,6.6,0.392,0.434,0.351,0.669,0.503,0.482,G
438,Donte DiVincenzo,1,17,13.4,2018-19,2022-23,22-26,273,127,0,24.3,3.3,7.7,1.6,3.1,1.7,4.7,0.9,1.2,1.0,3.6,4.6,2.8,1.2,0.2,1.4,1.7,9.1,0.42,0.509,0.362,0.777,0.551,0.529,G
439,Spencer Dinwiddie,2,38,28.7,2014-15,2022-23,21-29,466,263,0,27.7,4.5,10.8,2.9,6.0,1.6,4.7,3.2,4.0,0.4,2.6,3.1,5.3,0.7,0.3,1.7,2.3,13.8,0.417,0.483,0.333,0.795,0.549,0.49,G
440,Gorgui Dieng,1,21,30.7,2013-14,2022-23,24-33,628,209,0,20.1,2.8,5.6,2.5,4.7,0.3,0.9,1.5,1.9,1.7,4.0,5.6,1.3,0.7,0.9,1.1,2.1,7.3,0.496,0.522,0.355,0.791,0.572,0.524,C
441,Hamidou Diallo,2,45,6.2,2018-19,2022-23,20-24,263,44,0,18.7,3.4,7.0,3.2,5.9,0.3,1.1,1.4,2.3,1.0,2.8,3.8,1.1,0.8,0.3,1.1,2.2,8.6,0.495,0.534,0.274,0.623,0.54,0.516,G
442,Cheick Diallo,2,33,6.3,2016-17,2021-22,20-25,183,3,0,11.9,2.2,3.7,2.2,3.6,0.0,0.0,0.8,1.1,1.0,3.2,4.1,0.4,0.3,0.4,0.6,1.5,5.2,0.596,0.599,0.286,0.774,0.63,0.597,F
443,Sam Dekker,1,18,5.4,2015-16,2021-22,21-27,201,8,0,15.4,2.2,4.7,1.8,3.2,0.4,1.5,0.5,0.8,1.0,2.1,3.0,0.8,0.5,0.2,0.5,1.0,5.4,0.478,0.57,0.288,0.606,0.537,0.525,F
444,Branden Dawson,2,56,0.0,2015-16,2015-16,22,6,0,0,4.8,0.3,0.8,0.3,0.8,0.0,0.0,0.2,0.2,0.3,0.3,0.7,0.0,0.0,0.2,0.0,0.3,0.8,0.4,0.4,,1.0,0.46,0.4,F
445,JD Davison,2,53,0.1,2022-23,2022-23,20,12,0,0,5.5,0.7,1.6,0.5,1.0,0.2,0.6,0.1,0.2,0.2,0.6,0.8,0.9,0.2,0.2,0.3,0.4,1.6,0.421,0.5,0.286,0.5,0.478,0.474,G
446,Johnny Davis,1,10,-0.3,2022-23,2022-23,20,28,5,0,15.1,2.4,6.1,1.8,3.6,0.6,2.5,0.5,1.0,0.4,2.0,2.3,1.0,0.4,0.3,0.6,1.7,5.8,0.386,0.485,0.243,0.519,0.446,0.436,G
447,Ed Davis,1,13,43.3,2010-11,2021-22,21-32,722,106,0,19.1,2.5,4.3,2.5,4.3,0.0,0.0,1.0,1.8,2.2,4.2,6.4,0.7,0.5,0.8,0.7,2.4,5.9,0.567,0.568,0.0,0.583,0.581,0.567,F
448,Deyonta Davis,2,31,3.6,2016-17,2018-19,20-22,107,6,0,12.1,1.9,3.1,1.9,3.1,0.0,0.0,0.5,0.8,1.0,2.3,3.2,0.4,0.2,0.6,0.4,1.7,4.2,0.599,0.601,0.0,0.635,0.611,0.599,C-F
449,Anthony Davis,1,1,100.3,2012-13,2022-23,19-29,660,653,8,34.4,9.0,17.3,8.5,15.7,0.5,1.6,5.6,7.1,2.6,7.8,10.4,2.4,1.3,2.3,2.0,2.4,24.0,0.519,0.541,0.3,0.793,0.589,0.533,F-C
450,Jared Cunningham,1,24,0.2,2012-13,2015-16,21-24,84,3,0,7.2,0.7,2.1,0.5,1.3,0.2,0.7,0.7,1.0,0.1,0.6,0.7,0.5,0.3,0.0,0.4,0.9,2.3,0.347,0.369,0.306,0.674,0.467,0.402,G
451,Cade Cunningham,1,1,-0.6,2021-22,2022-23,20-21,76,76,0,32.7,6.9,16.5,5.1,10.9,1.7,5.6,2.3,2.8,0.9,4.7,5.6,5.6,1.2,0.7,3.6,3.1,17.8,0.416,0.471,0.309,0.844,0.502,0.468,G
452,Jarrett Culver,1,6,-0.1,2019-20,2022-23,20-23,144,43,0,17.2,2.5,6.4,1.9,4.0,0.6,2.3,0.8,1.5,0.9,1.9,2.8,1.2,0.7,0.4,0.9,1.7,6.5,0.401,0.473,0.276,0.509,0.463,0.451,G
453,Jae Crowder,2,34,41.3,2012-13,2022-23,22-32,753,409,0,25.1,3.3,7.8,1.7,3.4,1.6,4.5,1.4,1.8,0.7,3.6,4.3,1.6,1.0,0.3,0.9,2.1,9.5,0.418,0.512,0.348,0.778,0.552,0.517,F
454,Jordan Crawford,1,27,6.3,2010-11,2017-18,22-29,281,99,0,24.4,4.6,11.1,3.4,7.4,1.2,3.7,1.9,2.3,0.5,2.0,2.5,3.1,0.7,0.1,1.9,1.6,12.2,0.411,0.458,0.317,0.826,0.503,0.464,G
455,Allen Crabbe,2,31,13.7,2013-14,2019-20,21-27,381,113,0,24.0,3.2,7.6,1.6,3.4,1.6,4.2,1.0,1.2,0.3,2.5,2.8,1.1,0.6,0.3,0.7,2.0,9.1,0.425,0.471,0.387,0.831,0.559,0.531,G-F
456,DeMarcus Cousins,1,5,46.8,2010-11,2021-22,20-31,654,561,4,29.8,7.0,15.2,6.3,13.2,0.7,2.0,5.0,6.7,2.6,7.6,10.2,3.0,1.3,1.1,3.3,3.7,19.6,0.46,0.479,0.331,0.737,0.539,0.481,C-F
457,Sharife Cooper,2,48,-0.2,2021-22,2021-22,20,13,0,0,3.0,0.2,1.1,0.2,0.6,0.1,0.5,0.0,0.0,0.0,0.4,0.4,0.4,0.0,0.0,0.4,0.1,0.5,0.214,0.25,0.167,,0.25,0.25,G
458,Pat Connaughton,2,41,20.6,2015-16,2022-23,23-30,478,68,0,19.2,2.2,5.2,1.1,1.8,1.2,3.3,0.4,0.6,0.7,2.8,3.5,1.3,0.5,0.3,0.5,1.2,6.1,0.436,0.576,0.359,0.777,0.567,0.552,G
459,Zach Collins,1,10,7.3,2017-18,2022-23,20-25,245,42,0,18.9,2.8,6.0,2.2,4.2,0.6,1.8,1.2,1.6,1.4,3.4,4.8,1.6,0.4,0.7,1.3,2.5,7.5,0.477,0.535,0.342,0.749,0.562,0.528,C-F
460,John Collins,1,19,32.3,2017-18,2022-23,20-25,364,313,0,29.2,6.2,11.3,5.3,8.6,1.0,2.7,2.5,3.2,2.2,5.8,8.0,1.5,0.6,1.0,1.4,3.1,15.8,0.551,0.611,0.356,0.783,0.626,0.593,F
461,Norris Cole,1,28,3.0,2011-12,2016-17,23-28,360,60,0,22.3,2.8,6.9,2.2,5.1,0.6,1.8,0.8,1.1,0.2,1.7,2.0,2.7,0.8,0.1,1.4,1.9,7.0,0.407,0.436,0.324,0.743,0.475,0.449,G
462,Jordan Clarkson,2,46,23.4,2014-15,2022-23,22-30,661,203,0,27.5,6.0,13.6,4.1,8.1,1.9,5.5,2.0,2.5,0.9,2.5,3.4,2.7,0.8,0.2,1.8,1.7,15.9,0.44,0.509,0.338,0.826,0.54,0.508,G
463,Brandon Clarke,1,21,19.9,2019-20,2022-23,23-26,237,29,0,21.3,4.5,7.5,4.3,6.8,0.2,0.7,1.5,2.1,1.8,3.8,5.6,1.4,0.7,0.9,0.7,1.8,10.7,0.604,0.637,0.29,0.705,0.638,0.618,F
464,Josh Christopher,1,24,0.3,2021-22,2022-23,20-21,138,4,0,15.4,2.7,6.0,2.2,4.0,0.6,2.0,0.9,1.3,0.5,1.3,1.9,1.6,0.7,0.2,1.3,1.1,6.9,0.455,0.544,0.277,0.74,0.53,0.501,G
465,Semaj Christon,2,55,0.1,2016-17,2016-17,24,64,1,0,15.2,1.2,3.5,1.0,2.5,0.2,1.0,0.3,0.5,0.3,1.1,1.4,2.0,0.4,0.1,0.7,1.2,2.9,0.345,0.406,0.19,0.548,0.387,0.372,G
466,Rakeem Christmas,2,36,0.5,2015-16,2016-17,24-25,30,0,0,7.5,0.7,1.5,0.7,1.5,0.0,0.0,0.7,1.0,0.9,1.0,1.9,0.1,0.1,0.2,0.3,1.3,2.1,0.467,0.467,,0.724,0.545,0.467,F
467,Max Christie,2,35,0.6,2022-23,2022-23,19,41,3,0,12.5,1.1,2.6,0.4,1.1,0.6,1.5,0.3,0.4,0.2,1.7,1.8,0.5,0.2,0.2,0.3,0.8,3.1,0.415,0.409,0.419,0.875,0.566,0.538,G
468,Marquese Chriss,1,8,6.5,2016-17,2021-22,19-24,292,147,0,18.3,2.8,6.2,2.3,4.3,0.6,1.9,1.3,2.0,1.2,3.4,4.7,1.0,0.6,0.8,1.2,2.5,7.6,0.456,0.528,0.29,0.667,0.531,0.5,F
469,Kennedy Chandler,2,38,0.3,2022-23,2022-23,20,36,0,0,7.8,1.0,2.3,0.9,1.9,0.1,0.4,0.2,0.4,0.3,0.8,1.1,1.6,0.3,0.1,0.5,0.4,2.2,0.422,0.485,0.133,0.462,0.44,0.434,G
470,Willie Cauley-Stein,1,6,23.3,2015-16,2021-22,22-28,422,256,0,22.0,3.7,6.8,3.7,6.7,0.0,0.1,1.3,2.2,1.6,4.2,5.9,1.4,0.8,0.8,0.9,2.3,8.7,0.544,0.548,0.188,0.612,0.564,0.545,F-C
471,Michael Carter-Williams,1,11,6.6,2013-14,2022-23,22-31,395,217,0,25.2,3.8,9.4,3.3,7.6,0.5,1.8,2.2,3.1,1.0,3.4,4.3,4.3,1.3,0.5,2.3,2.4,10.2,0.402,0.436,0.256,0.705,0.473,0.426,G
472,Wendell Carter Jr.,1,7,18.1,2018-19,2022-23,19-23,260,246,0,28.0,4.9,9.5,4.2,7.4,0.7,2.1,2.4,3.3,2.4,6.5,8.8,2.1,0.6,0.8,1.7,3.0,12.9,0.516,0.572,0.321,0.733,0.589,0.552,C
473,Jevon Carter,2,32,8.0,2018-19,2022-23,23-27,304,48,0,16.3,1.9,4.8,0.8,1.9,1.2,3.0,0.3,0.4,0.4,1.6,1.9,1.7,0.6,0.3,0.6,1.4,5.4,0.4,0.405,0.397,0.811,0.537,0.523,G
474,Vernon Carey Jr.,2,32,0.2,2020-21,2022-23,19-21,37,5,0,5.1,0.7,1.5,0.7,1.4,0.0,0.2,0.5,0.7,0.5,0.9,1.4,0.1,0.1,0.2,0.3,0.6,1.9,0.474,0.52,0.143,0.654,0.526,0.482,C
475,Derrick Caracter,2,58,0.3,2010-11,2010-11,22,41,0,0,5.2,0.8,1.6,0.8,1.6,0.0,0.0,0.4,0.6,0.5,0.6,1.0,0.2,0.1,0.2,0.5,1.1,2.0,0.485,0.485,,0.739,0.532,0.485,F
476,Isaiah Canaan,2,34,4.3,2013-14,2018-19,22-27,235,77,0,20.4,2.6,7.1,1.1,2.6,1.6,4.4,1.3,1.6,0.3,1.6,1.9,1.9,0.6,0.1,1.1,1.5,8.1,0.371,0.404,0.351,0.836,0.524,0.481,G
477,Kentavious Caldwell-Pope,1,8,39.1,2013-14,2022-23,20-29,759,617,0,29.5,4.1,9.7,2.4,5.0,1.7,4.7,1.6,1.9,0.6,2.5,3.1,1.8,1.1,0.2,1.0,1.8,11.5,0.424,0.479,0.365,0.814,0.546,0.512,G
478,Jimmy Butler,1,30,105.9,2011-12,2022-23,22-33,754,649,6,33.2,5.9,12.6,5.1,10.2,0.8,2.4,5.6,6.6,1.6,3.7,5.3,4.2,1.6,0.5,1.6,1.4,18.2,0.467,0.502,0.323,0.842,0.584,0.499,F-G
479,Jared Butler,2,40,0.5,2021-22,2022-23,21-22,48,2,0,9.1,1.6,3.8,0.9,1.7,0.7,2.1,0.2,0.3,0.1,0.9,1.0,1.5,0.5,0.2,0.8,1.1,4.1,0.415,0.506,0.343,0.688,0.521,0.511,G
480,Alec Burks,1,12,28.6,2011-12,2022-23,20-31,676,143,0,22.9,3.6,8.6,2.5,5.6,1.1,2.9,2.5,3.1,0.6,2.9,3.5,2.0,0.7,0.2,1.2,1.9,10.8,0.419,0.437,0.384,0.801,0.543,0.485,G
481,Trey Burke,1,9,12.9,2013-14,2021-22,21-29,498,130,0,20.9,3.7,9.0,2.6,5.7,1.1,3.3,1.1,1.3,0.3,1.4,1.8,3.1,0.6,0.1,1.1,1.3,9.6,0.41,0.448,0.345,0.81,0.5,0.473,G
482,Reggie Bullock,1,25,20.8,2013-14,2022-23,22-31,512,294,0,23.7,2.7,6.5,1.1,2.1,1.7,4.3,0.5,0.7,0.4,2.3,2.7,1.2,0.6,0.1,0.6,1.5,7.7,0.425,0.506,0.384,0.827,0.57,0.553,G-F
483,Thomas Bryant,2,42,15.7,2017-18,2022-23,20-25,229,134,0,19.7,4.0,6.8,3.5,5.4,0.5,1.4,1.5,2.0,1.5,4.2,5.7,1.1,0.3,0.8,0.8,1.8,10.1,0.598,0.659,0.366,0.757,0.661,0.636,C
484,Jalen Brunson,2,33,26.0,2018-19,2022-23,22-26,345,195,0,26.7,5.4,11.0,4.2,7.8,1.2,3.1,2.2,2.8,0.5,2.7,3.1,4.2,0.6,0.1,1.4,1.8,14.3,0.493,0.536,0.386,0.812,0.585,0.548,G
485,Sterling Brown,2,46,6.6,2017-18,2022-23,22-27,268,29,0,16.6,2.0,4.7,1.1,2.2,0.9,2.5,0.5,0.6,0.6,2.8,3.3,1.0,0.5,0.2,0.7,1.4,5.3,0.419,0.485,0.363,0.796,0.536,0.517,G
486,Markel Brown,2,44,1.1,2014-15,2017-18,23-26,113,35,0,15.9,1.8,4.8,1.3,3.1,0.5,1.7,1.0,1.3,0.4,1.7,2.1,1.2,0.6,0.2,0.7,1.4,5.2,0.38,0.427,0.295,0.781,0.482,0.432,G
487,Lorenzo Brown,2,52,-0.2,2013-14,2018-19,23-28,103,7,0,11.5,1.2,3.3,1.0,2.3,0.2,1.0,0.3,0.4,0.3,1.2,1.5,1.8,0.6,0.1,0.7,1.0,2.8,0.364,0.453,0.17,0.707,0.411,0.391,G
488,Kendall Brown,2,48,0.1,2022-23,2022-23,19,6,0,0,6.7,0.7,1.2,0.7,1.0,0.0,0.2,0.2,0.3,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5,0.571,0.667,0.0,0.5,0.571,0.571,G-F
489,Jaylen Brown,1,3,29.4,2016-17,2022-23,20-26,470,363,2,29.7,6.7,14.1,4.8,8.9,1.9,5.1,2.6,3.6,0.9,4.3,5.2,2.2,1.0,0.4,2.0,2.5,17.9,0.477,0.541,0.365,0.723,0.572,0.543,F-G
490,Bruce Brown,2,42,17.0,2018-19,2022-23,22-26,349,212,0,24.6,3.4,7.0,2.8,5.3,0.6,1.7,1.2,1.7,1.1,3.1,4.2,2.4,0.9,0.6,1.1,2.4,8.5,0.482,0.528,0.341,0.749,0.555,0.524,G-F
491,Anthony Brown,2,34,-0.2,2015-16,2017-18,23-25,41,11,0,18.6,1.4,4.3,0.7,1.9,0.7,2.4,0.4,0.5,0.4,2.1,2.5,0.7,0.5,0.1,0.5,1.2,3.9,0.328,0.38,0.286,0.85,0.433,0.407,F-G
492,Dillon Brooks,2,45,6.9,2017-18,2022-23,22-27,345,318,0,28.7,5.4,13.1,3.8,8.2,1.7,4.9,2.0,2.5,0.7,2.4,3.1,2.1,0.9,0.3,1.6,3.3,14.5,0.416,0.459,0.342,0.795,0.512,0.479,F-G
493,Malcolm Brogdon,2,36,30.0,2016-17,2022-23,24-30,400,258,0,29.5,5.7,12.2,4.1,8.0,1.6,4.2,2.4,2.7,0.8,3.4,4.2,4.6,0.8,0.2,1.7,1.9,15.4,0.467,0.508,0.388,0.879,0.575,0.533,G
494,Miles Bridges,1,12,16.0,2018-19,2021-22,20-23,291,188,0,29.1,5.0,10.7,3.5,6.3,1.5,4.3,1.8,2.2,1.1,4.5,5.6,2.3,0.7,0.7,1.4,2.0,13.4,0.473,0.559,0.346,0.809,0.575,0.543,G-F
495,Mikal Bridges,1,10,32.1,2018-19,2022-23,22-26,392,325,0,32.2,4.9,9.8,3.3,5.8,1.5,4.0,1.9,2.2,0.9,3.1,4.0,2.3,1.3,0.6,1.0,2.0,13.1,0.495,0.578,0.376,0.857,0.609,0.573,F-G
496,Ignas Brazdeikis,2,47,0.4,2019-20,2021-22,21-23,64,1,0,13.1,1.9,4.6,1.3,2.6,0.6,1.9,0.5,0.8,0.6,1.3,1.9,0.9,0.2,0.1,0.5,1.1,5.0,0.416,0.491,0.315,0.686,0.504,0.483,F
497,Christian Braun,1,21,1.9,2022-23,2022-23,21,76,6,0,15.5,1.9,3.8,1.4,2.5,0.4,1.3,0.5,0.8,0.6,1.8,2.4,0.8,0.5,0.2,0.5,1.3,4.7,0.495,0.565,0.354,0.625,0.568,0.554,G
498,Jarrell Brantley,2,50,0.6,2019-20,2022-23,23-26,41,0,0,6.7,1.0,2.3,0.6,1.1,0.5,1.2,0.1,0.1,0.3,1.0,1.3,0.7,0.2,0.2,0.4,0.7,2.7,0.457,0.545,0.38,0.833,0.569,0.559,F
499,Malaki Branham,1,20,-0.1,2022-23,2022-23,19,66,32,0,23.5,4.1,9.3,2.9,5.4,1.2,3.9,0.9,1.1,0.4,2.3,2.7,1.9,0.5,0.1,1.2,1.7,10.2,0.44,0.539,0.302,0.829,0.524,0.503,G
500,Tony Bradley,1,28,7.5,2017-18,2022-23,20-25,179,18,0,11.1,1.9,3.1,1.9,3.0,0.0,0.1,0.5,0.8,1.5,2.5,4.1,0.5,0.2,0.6,0.6,1.4,4.4,0.631,0.634,0.5,0.681,0.651,0.637,F-C
501,Avery Bradley,1,19,17.2,2010-11,2021-22,20-31,660,544,0,27.5,4.4,10.2,3.1,6.6,1.3,3.6,0.9,1.1,0.6,2.2,2.8,1.7,1.0,0.2,1.3,2.2,11.0,0.434,0.471,0.365,0.783,0.516,0.498,G
502,Craig Brackins,1,21,-0.2,2010-11,2011-12,23-24,17,1,0,7.1,0.8,2.9,0.6,2.1,0.2,0.8,0.1,0.1,0.4,0.7,1.1,0.5,0.1,0.1,0.2,0.5,1.8,0.265,0.286,0.214,0.5,0.301,0.296,F
503,James Bouknight,1,11,-0.4,2021-22,2022-23,21-22,65,0,0,12.6,1.8,5.1,1.0,2.7,0.8,2.4,0.7,0.9,0.5,1.4,1.9,1.0,0.3,0.1,0.7,1.2,5.1,0.353,0.386,0.316,0.77,0.461,0.428,G
504,Brandon Boston Jr.,2,51,0.6,2021-22,2022-23,20-21,73,1,0,13.8,2.4,6.1,1.8,4.2,0.6,1.9,1.2,1.5,0.3,1.6,1.9,1.0,0.5,0.2,0.6,0.9,6.7,0.394,0.423,0.329,0.8,0.491,0.445,G-F
