,Player,Round,Pick,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
252,Sandro Mamukelashvili,2,54,2.0,2021-22,2022-23,22-23,84,10,0,12.7,1.8,4.1,1.2,2.3,0.6,1.8,0.7,0.9,1.3,1.9,3.2,1.0,0.3,0.3,0.6,1.0,5.0,0.446,0.526,0.344,0.722,0.549,0.522,C-F
253,Vernon Macklin,2,52,0.5,2011-12,2011-12,25,23,0,0,5.9,0.8,1.5,0.8,1.5,0.0,0.0,0.3,0.6,0.6,0.9,1.5,0.2,0.2,0.2,0.1,0.4,2.0,0.543,0.543,,0.571,0.559,0.543,F
254,Shelvin Mack,2,34,10.3,2011-12,2018-19,21-28,456,56,0,18.4,2.6,6.0,1.9,4.0,0.7,2.0,0.8,1.1,0.3,1.7,2.0,3.1,0.7,0.1,1.2,1.2,6.6,0.423,0.47,0.33,0.731,0.504,0.478,G
255,Trey Lyles,1,12,17.0,2015-16,2022-23,20-27,523,126,0,18.1,2.8,6.4,1.9,3.7,0.9,2.7,1.2,1.6,0.8,3.5,4.3,1.0,0.4,0.4,0.8,1.4,7.8,0.443,0.517,0.342,0.749,0.549,0.515,F
256,Tyler Lydon,1,24,0.2,2017-18,2018-19,21-22,26,0,0,3.7,0.3,0.7,0.2,0.3,0.2,0.4,0.0,0.1,0.3,0.4,0.7,0.2,0.1,0.0,0.2,0.4,0.9,0.5,0.625,0.4,0.333,0.595,0.611,F
257,Kevon Looney,1,30,29.1,2015-16,2022-23,19-26,449,220,0,17.8,2.2,3.7,2.2,3.6,0.0,0.1,0.8,1.2,2.1,3.5,5.6,1.6,0.5,0.6,0.6,2.2,5.1,0.582,0.597,0.169,0.606,0.598,0.585,F-C
258,Isaiah Livers,2,42,1.7,2021-22,2022-23,23-24,71,27,0,22.3,2.3,5.3,0.8,1.6,1.4,3.8,0.6,0.7,0.6,2.2,2.8,0.9,0.6,0.5,0.6,2.0,6.6,0.426,0.541,0.378,0.83,0.582,0.56,F
259,Nassir Little,1,25,4.0,2019-20,2022-23,19-22,192,34,0,17.1,2.2,4.9,1.4,2.5,0.8,2.3,0.9,1.2,0.8,2.4,3.2,0.8,0.3,0.4,0.6,1.4,6.0,0.451,0.559,0.335,0.725,0.56,0.532,F
260,Damian Lillard,1,6,103.1,2012-13,2022-23,22-32,769,769,7,36.3,8.2,18.6,5.1,10.3,3.1,8.3,5.8,6.4,0.6,3.6,4.2,6.7,1.0,0.3,2.8,1.9,25.2,0.439,0.494,0.372,0.895,0.588,0.523,G
261,DeAndre Liggins,2,53,1.6,2011-12,2017-18,23-29,177,24,0,10.8,0.7,1.8,0.5,1.1,0.2,0.7,0.3,0.5,0.3,1.2,1.4,0.7,0.6,0.2,0.5,1.1,2.0,0.402,0.432,0.352,0.549,0.484,0.469,G
262,Scottie Lewis,2,56,0.0,2021-22,2021-22,21,2,0,0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,,,,0.5,0.568,,G
263,Kira Lewis Jr.,1,13,1.3,2020-21,2022-23,19-21,103,0,0,14.4,2.2,5.5,1.6,3.5,0.7,2.1,0.7,0.8,0.3,1.1,1.4,1.9,0.6,0.1,0.7,1.3,5.8,0.401,0.448,0.321,0.847,0.491,0.461,G
264,Caris LeVert,1,20,16.3,2016-17,2022-23,22-28,392,210,0,28.1,5.3,12.1,3.8,7.9,1.4,4.2,2.2,2.9,0.7,3.1,3.8,3.9,1.1,0.3,1.8,2.1,14.1,0.436,0.485,0.344,0.735,0.528,0.496,G-F
265,Jon Leuer,2,40,13.2,2011-12,2018-19,22-29,377,80,0,15.8,2.6,5.4,2.3,4.4,0.3,1.0,0.8,1.1,0.9,2.8,3.8,0.8,0.4,0.3,0.7,1.5,6.4,0.484,0.52,0.328,0.767,0.544,0.515,F
266,Travis Leslie,2,47,0.1,2011-12,2011-12,21,10,0,0,4.5,0.5,1.4,0.5,1.4,0.0,0.0,0.4,0.9,0.6,0.3,0.9,0.5,0.2,0.2,0.2,0.4,1.4,0.357,0.357,,0.444,0.39,0.357,G
267,Meyers Leonard,1,11,15.8,2012-13,2022-23,20-30,456,95,0,15.9,2.1,4.4,1.4,2.5,0.7,1.9,0.6,0.7,0.7,3.2,3.9,0.9,0.2,0.3,0.7,2.2,5.6,0.482,0.55,0.39,0.812,0.589,0.565,C-F
268,Kawhi Leonard,1,15,90.4,2011-12,2022-23,20-31,628,599,5,31.5,7.1,14.3,5.5,10.3,1.5,4.0,4.0,4.6,1.2,5.2,6.4,3.0,1.7,0.6,1.6,1.7,19.6,0.495,0.537,0.387,0.859,0.603,0.549,F
269,Alex Len,1,5,21.9,2013-14,2022-23,20-29,596,237,0,18.3,2.8,5.6,2.7,5.1,0.2,0.6,1.5,2.2,1.8,3.9,5.7,0.8,0.4,0.9,1.2,2.5,7.4,0.507,0.527,0.327,0.683,0.561,0.524,C
270,Saben Lee,2,38,3.1,2020-21,2022-23,21-23,110,8,0,16.0,2.0,4.6,1.7,3.6,0.3,1.0,1.4,2.0,0.5,1.6,2.1,3.2,0.8,0.2,1.0,1.4,5.7,0.427,0.466,0.292,0.733,0.519,0.46,G
271,Malcolm Lee,2,43,0.4,2011-12,2014-15,21-24,36,12,0,14.8,1.4,3.8,1.2,2.8,0.3,0.9,0.7,1.0,0.7,1.1,1.8,1.4,0.6,0.3,0.8,1.4,3.9,0.382,0.412,0.294,0.703,0.46,0.419,G
